n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2,lut,ff,dsp,bram
0316,1,256,2,8,1,1,0,1,1,0.000107,512,2471,980,0,56
0317,1,256,2,8,1,1,0,1,2,0.000107,512,2471,980,0,56
0318,1,256,2,8,1,1,0,2,0,0.000128,486,2135,1036,0,56
0319,1,256,2,8,1,1,0,2,1,0.000100,535,2584,1060,0,56
0320,1,256,2,8,1,1,0,2,2,0.000100,535,2584,1060,0,56
0321,1,256,2,8,1,1,0,3,0,0.000107,665,2539,2068,0,56
0322,1,256,2,8,1,1,0,3,1,0.000124,750,3295,2155,0,56
0323,1,256,2,8,1,1,0,3,2,0.000124,750,3295,2155,0,56
0324,1,256,2,8,1,1,0,4,0,0.000118,601,2607,1491,0,56
0325,1,256,2,8,1,1,0,4,1,0.000112,601,2701,1476,0,56
0326,1,256,2,8,1,1,0,4,2,0.000112,601,2701,1476,0,56
0327,1,256,2,8,1,1,0,5,0,0.000101,777,3132,2244,0,56
0328,1,256,2,8,1,1,0,5,1,0.000105,919,3940,2562,0,56
0329,1,256,2,8,1,1,0,5,2,0.000105,919,3940,2562,0,56
0336,1,256,2,8,1,1,0,8,0,0.000111,662,2766,1787,0,56
0337,1,256,2,8,1,1,0,8,1,0.000095,708,3228,2020,0,56
0338,1,256,2,8,1,1,0,8,2,0.000095,708,3228,2020,0,56
0339,1,256,2,8,1,1,0,9,0,0.000140,907,3561,2596,0,56
0340,1,256,2,8,1,1,0,9,1,0.000133,1133,5001,3106,0,56
0341,1,256,2,8,1,1,0,9,2,0.000133,1133,5001,3106,0,56
0345,1,256,2,8,1,1,0,11,0,0.000115,989,3782,2700,0,56
0346,1,256,2,8,1,1,0,11,1,0.000116,1299,6067,3525,0,56
0347,1,256,2,8,1,1,0,11,2,0.000116,1299,6067,3525,0,56
0357,1,256,2,8,1,1,0,15,0,0.000114,1199,4875,3020,0,56
0358,1,256,2,8,1,1,0,15,1,0.000119,1556,7488,4067,0,56
0359,1,256,2,8,1,1,0,15,2,0.000119,1556,7488,4067,0,56
0360,1,256,4,1,1,1,0,1,0,0.000583,33,124,98,0,1
0361,1,256,4,1,1,1,0,1,1,0.000409,39,170,101,0,1
0362,1,256,4,1,1,1,0,1,2,0.000409,39,170,101,0,1
0363,1,256,4,1,1,1,0,2,0,0.000509,36,129,116,0,1
0364,1,256,4,1,1,1,0,2,1,0.000410,47,199,119,0,1
0365,1,256,4,1,1,1,0,2,2,0.000410,47,199,119,0,1
0366,1,256,4,1,1,1,0,3,0,0.000490,59,189,237,0,1
0367,1,256,4,1,1,1,0,3,1,0.000407,66,290,256,0,1
