n,knob_HIST_SIZE,knob_NUM_HIST,knob_UNROLL_LLM,knob_UNROLL_LP,knob_I_B,knob_DATA_BLOCK,obj1,obj2
280,256,3,6,3,0,8192,0.0017,7600
281,256,3,6,3,0,65536,0.0016,7087
282,256,3,7,1,0,2048,0.0015,7389
283,256,3,7,1,0,4096,0.0016,7953
284,256,3,7,1,0,16384,0.0015,7110
285,256,3,7,1,0,65536,0.0014,7034
286,256,3,7,2,0,8192,0.001,7110
287,256,3,7,2,0,32768,0.0009,7848
288,256,3,7,2,0,65536,0.0009,7676
289,256,3,7,3,0,2048,0.0017,7629
290,256,3,7,3,0,4096,0.0015,7490
291,256,3,7,3,0,8192,0.0018,9443
292,256,3,7,3,0,16384,0.0015,7375
293,256,3,7,3,0,32768,0.0015,7379
294,256,3,7,3,0,65536,0.0015,7316
295,256,4,1,1,0,1024,0.0023,7580
296,256,4,1,1,0,4096,0.0024,7386
297,256,4,1,1,0,16384,0.0025,7057
298,256,4,1,1,0,32768,0.0023,7551
299,256,4,1,1,0,65536,0.0023,7530
300,256,4,1,2,0,2048,0.0021,7708
301,256,4,1,2,0,4096,0.0019,7748
302,256,4,1,2,0,8192,0.0021,7435
303,256,4,1,2,0,32768,0.002,7409
304,256,4,1,2,0,65536,0.0021,7549
305,256,4,1,3,0,1024,0.0018,8297
306,256,4,1,3,0,2048,0.0019,7892
307,256,4,1,3,0,4096,0.0019,7740
308,256,4,1,3,0,16384,0.0019,7049
309,256,4,1,3,0,32768,0.002,7104
310,256,4,1,3,0,65536,0.0019,7135
311,256,4,2,1,0,1024,0.0019,7737
312,256,4,2,1,0,4096,0.0021,7740
313,256,4,2,1,0,16384,0.002,7524
314,256,4,2,1,0,32768,0.002,7504
315,256,4,2,1,0,65536,0.002,7495
316,256,4,2,2,0,1024,0.0017,8050
317,256,4,2,2,0,2048,0.0017,7518
318,256,4,2,2,0,4096,0.0018,7525
319,256,4,2,2,0,16384,0.0017,7138
320,256,4,2,2,0,32768,0.0016,7154
321,256,4,2,3,0,1024,0.0016,8509
322,256,4,2,3,0,32768,0.0016,7071
323,256,4,2,3,0,65536,0.0016,7637
324,256,4,3,1,0,2048,0.0014,8201
325,256,4,3,1,0,4096,0.0014,7610
326,256,4,3,1,0,8192,0.0013,7465
327,256,4,3,1,0,32768,0.0013,7101
328,256,4,3,1,0,65536,0.0013,7524
329,256,4,3,2,0,2048,0.0019,7833
330,256,4,3,2,0,4096,0.0018,7974
331,256,4,3,2,0,8192,0.0018,7401
332,256,4,3,2,0,16384,0.0018,7074
333,256,4,3,3,0,1024,0.0017,7793
334,256,4,3,3,0,4096,0.0017,7684
335,256,4,3,3,0,8192,0.0018,7476
336,256,4,3,3,0,65536,0.0016,7124
337,256,4,4,1,0,1024,0.0014,7988
338,256,4,4,1,0,2048,0.0014,7909
339,256,4,4,1,0,8192,0.0014,7701
340,256,4,4,1,0,65536,0.0014,7569
341,256,4,4,2,0,1024,0.0017,8295
342,256,4,4,2,0,8192,0.0017,7644
343,256,4,4,2,0,65536,0.0016,7515
344,256,4,4,3,0,8192,0.0014,7301
345,256,4,4,3,0,16384,0.0015,7087
346,256,4,4,3,0,32768,0.0015,7405
347,256,4,4,3,0,65536,0.0015,7212
348,256,4,5,1,0,4096,0.0014,7661
349,256,4,5,1,0,8192,0.0013,7188
350,256,4,5,1,0,16384,0.0014,7567
351,256,4,5,1,0,32768,0.0013,7506
352,256,4,5,1,0,65536,0.0014,7546
353,256,4,5,2,0,1024,0.0016,7862
354,256,4,5,2,0,2048,0.0016,7609
355,256,4,5,2,0,4096,0.0016,7736
356,256,4,5,2,0,16384,0.0017,7191
357,256,4,5,2,0,65536,0.0016,7413
358,256,4,5,3,0,4096,0.0017,7865
359,256,4,5,3,0,16384,0.0018,9320
360,256,4,5,3,0,32768,0.0018,9306
361,256,4,5,3,0,65536,0.0016,9337
362,256,4,6,1,0,2048,0.0014,7769
363,256,4,6,1,0,8192,0.0013,7603
364,256,4,6,1,0,16384,0.0012,7052
365,256,4,6,1,0,32768,0.0013,7454
366,256,4,6,2,0,1024,0.0009,7623
367,256,4,6,2,0,4096,0.001,8060
368,256,4,6,2,0,8192,0.001,7100
369,256,4,6,2,0,16384,0.001,7619
370,256,4,6,2,0,32768,0.0009,7491
371,256,4,6,2,0,65536,0.0009,7604
372,256,4,6,3,0,2048,0.0017,7935
373,256,4,6,3,0,16384,0.0018,7088
374,256,4,6,3,0,32768,0.0018,7262
375,256,4,6,3,0,65536,0.0016,7087
376,256,4,7,1,0,2048,0.0015,7389
377,256,4,7,1,0,32768,0.0015,7308
378,256,4,7,1,0,65536,0.0014,7034
