n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
0383,1,256,4,1,1,1,0,8,2,0.000402,58
0390,1,256,4,1,1,1,0,11,0,0.000544,103
0391,1,256,4,1,1,1,0,11,1,0.000559,133
0392,1,256,4,1,1,1,0,11,2,0.000559,133
0402,1,256,4,1,1,1,0,15,0,0.000524,129
0403,1,256,4,1,1,1,0,15,1,0.000484,169
0404,1,256,4,1,1,1,0,15,2,0.000484,169
0405,1,256,4,2,1,1,0,1,0,0.000632,148
0406,1,256,4,2,1,1,0,1,1,0.000419,148
0407,1,256,4,2,1,1,0,1,2,0.000419,148
0408,1,256,4,2,1,1,0,2,0,0.000539,165
0409,1,256,4,2,1,1,0,2,1,0.000410,170
0410,1,256,4,2,1,1,0,2,2,0.000410,170
0414,1,256,4,2,1,1,0,4,0,0.000514,187
0415,1,256,4,2,1,1,0,4,1,0.000447,176
0416,1,256,4,2,1,1,0,4,2,0.000447,176
0417,1,256,4,2,1,1,0,5,0,0.000479,209
0418,1,256,4,2,1,1,0,5,1,0.000489,268
0419,1,256,4,2,1,1,0,5,2,0.000489,268
0423,1,256,4,2,1,1,0,7,0,0.000520,282
0424,1,256,4,2,1,1,0,7,1,0.000459,297
0425,1,256,4,2,1,1,0,7,2,0.000459,297
0426,1,256,4,2,1,1,0,8,0,0.000540,186
0427,1,256,4,2,1,1,0,8,1,0.000493,216
0428,1,256,4,2,1,1,0,8,2,0.000493,216
0441,1,256,4,2,1,1,0,13,0,0.000423,287
0442,1,256,4,2,1,1,0,13,1,0.000475,371
0443,1,256,4,2,1,1,0,13,2,0.000475,371
0447,1,256,4,2,1,1,0,15,0,0.000555,354
0448,1,256,4,2,1,1,0,15,1,0.000562,433
0449,1,256,4,2,1,1,0,15,2,0.000562,433
0450,1,256,4,4,1,1,0,1,0,0.000255,301
0451,1,256,4,4,1,1,0,1,1,0.000190,294
0452,1,256,4,4,1,1,0,1,2,0.000190,294
0453,1,256,4,4,1,1,0,2,0,0.000209,279
0454,1,256,4,4,1,1,0,2,1,0.000169,354
0455,1,256,4,4,1,1,0,2,2,0.000191,352
0456,1,256,4,4,1,1,0,3,0,0.000215,382
0457,1,256,4,4,1,1,0,3,1,0.000197,431
0458,1,256,4,4,1,1,0,3,2,0.000197,431
0459,1,256,4,4,1,1,0,4,0,0.000189,386
0460,1,256,4,4,1,1,0,4,1,0.000211,348
0461,1,256,4,4,1,1,0,4,2,0.000211,342
0462,1,256,4,4,1,1,0,5,0,0.000226,434
0463,1,256,4,4,1,1,0,5,1,0.000211,518
0464,1,256,4,4,1,1,0,5,2,0.000206,524
0471,1,256,4,4,1,1,0,8,0,0.000226,374
0472,1,256,4,4,1,1,0,8,1,0.000195,402
0473,1,256,4,4,1,1,0,8,2,0.000195,402
0474,1,256,4,4,1,1,0,9,0,0.000204,488
0475,1,256,4,4,1,1,0,9,1,0.000219,643
0476,1,256,4,4,1,1,0,9,2,0.000219,643
0480,1,256,4,4,1,1,0,11,0,0.000219,560
0481,1,256,4,4,1,1,0,11,1,0.000218,687
0482,1,256,4,4,1,1,0,11,2,0.000218,687
0492,1,256,4,4,1,1,0,15,0,0.000243,654
0493,1,256,4,4,1,1,0,15,1,0.000244,819
0494,1,256,4,4,1,1,0,15,2,0.000244,819
0495,1,256,4,8,1,1,0,1,0,0.000131,502
0496,1,256,4,8,1,1,0,1,1,0.000105,501
0497,1,256,4,8,1,1,0,1,2,0.000105,501
0498,1,256,4,8,1,1,0,2,0,0.000112,490
0499,1,256,4,8,1,1,0,2,1,0.000096,571
0500,1,256,4,8,1,1,0,2,2,0.000096,571
0504,1,256,4,8,1,1,0,4,0,0.000116,576
0505,1,256,4,8,1,1,0,4,1,0.000110,594
0506,1,256,4,8,1,1,0,4,2,0.000110,594
0513,1,256,4,8,1,1,0,7,0,0.000121,902
0514,1,256,4,8,1,1,0,7,1,0.000114,1058
0515,1,256,4,8,1,1,0,7,2,0.000114,1058
0516,1,256,4,8,1,1,0,8,0,0.000125,653
0517,1,256,4,8,1,1,0,8,1,0.000110,715
0518,1,256,4,8,1,1,0,8,2,0.000110,715
0519,1,256,4,8,1,1,0,9,0,0.000122,900
0520,1,256,4,8,1,1,0,9,1,0.000118,1169
0521,1,256,4,8,1,1,0,9,2,0.000118,1169
0540,1,256,8,1,1,1,0,1,0,0.000616,39
0541,1,256,8,1,1,1,0,1,1,0.000405,40
0542,1,256,8,1,1,1,0,1,2,0.000405,40
0543,1,256,8,1,1,1,0,2,0,0.000501,40
0544,1,256,8,1,1,1,0,2,1,0.000401,41
0545,1,256,8,1,1,1,0,2,2,0.000401,41
0549,1,256,8,1,1,1,0,4,0,0.000469,48
0550,1,256,8,1,1,1,0,4,1,0.000422,48
0551,1,256,8,1,1,1,0,4,2,0.000422,48
0552,1,256,8,1,1,1,0,5,0,0.000432,74
0553,1,256,8,1,1,1,0,5,1,0.000474,95
0554,1,256,8,1,1,1,0,5,2,0.000474,95
0558,1,256,8,1,1,1,0,7,0,0.000432,84
0559,1,256,8,1,1,1,0,7,1,0.000472,100
0560,1,256,8,1,1,1,0,7,2,0.000472,100
0561,1,256,8,1,1,1,0,8,0,0.000413,52
0562,1,256,8,1,1,1,0,8,1,0.000441,61
0563,1,256,8,1,1,1,0,8,2,0.000441,61
0576,1,256,8,1,1,1,0,13,0,0.000482,109
0577,1,256,8,1,1,1,0,13,1,0.000613,146
0578,1,256,8,1,1,1,0,13,2,0.000613,146
0582,1,256,8,1,1,1,0,15,0,0.000565,135
0583,1,256,8,1,1,1,0,15,1,0.000545,163
0584,1,256,8,1,1,1,0,15,2,0.000545,163
0585,1,256,8,2,1,1,0,1,0,0.000649,148
0586,1,256,8,2,1,1,0,1,1,0.000449,154
0587,1,256,8,2,1,1,0,1,2,0.000449,154
0588,1,256,8,2,1,1,0,2,0,0.000542,171
0589,1,256,8,2,1,1,0,2,1,0.000424,164
0590,1,256,8,2,1,1,0,2,2,0.000424,164
0591,1,256,8,2,1,1,0,3,0,0.000518,184
0592,1,256,8,2,1,1,0,3,1,0.000504,230
