Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Flow
Throughput,599.1611743559017,catapult,BRAM,17.5,area
Throughput,558.3472920156337,catapult,CLB,7088,area
Throughput,558.3472920156337,catapult,LUT,42993,area
Throughput,558.3472920156337,catapult,FF,8787,area
Throughput,558.3472920156337,catapult,DSP,0,area
Throughput,558.3472920156337,catapult,BRAM,17.5,area
Throughput,614.2506142506143,catapult,CLB,7087,area
Throughput,614.2506142506143,catapult,LUT,42901,area
Throughput,614.2506142506143,catapult,FF,8714,area
Throughput,614.2506142506143,catapult,DSP,0,area
Throughput,614.2506142506143,catapult,BRAM,17.5,area
Throughput,646.8305304010349,catapult,CLB,7389,area
Throughput,646.8305304010349,catapult,LUT,44236,area
Throughput,646.8305304010349,catapult,FF,9082,area
Throughput,646.8305304010349,catapult,DSP,0,area
Throughput,646.8305304010349,catapult,BRAM,17.5,area
Throughput,618.0469715698392,catapult,CLB,7953,area
Throughput,618.0469715698392,catapult,LUT,43860,area
Throughput,618.0469715698392,catapult,FF,8879,area
Throughput,618.0469715698392,catapult,DSP,0,area
Throughput,618.0469715698392,catapult,BRAM,17.5,area
Throughput,679.8096532970768,catapult,CLB,7110,area
Throughput,679.8096532970768,catapult,LUT,42926,area
Throughput,679.8096532970768,catapult,FF,8697,area
Throughput,679.8096532970768,catapult,DSP,0,area
Throughput,679.8096532970768,catapult,BRAM,17.5,area
Throughput,668.8963210702341,catapult,CLB,7308,area
Throughput,668.8963210702341,catapult,LUT,42860,area
Throughput,668.8963210702341,catapult,FF,8681,area
Throughput,668.8963210702341,catapult,DSP,0,area
Throughput,668.8963210702341,catapult,BRAM,17.5,area
Throughput,690.1311249137336,catapult,CLB,7034,area
Throughput,690.1311249137336,catapult,LUT,42808,area
Throughput,690.1311249137336,catapult,FF,8635,area
Throughput,690.1311249137336,catapult,DSP,0,area
Throughput,690.1311249137336,catapult,BRAM,17.5,area
Throughput,1017.293997965412,catapult,CLB,7832,area
Throughput,1017.293997965412,catapult,LUT,43928,area
Throughput,1017.293997965412,catapult,FF,9052,area
Throughput,1017.293997965412,catapult,DSP,0,area
Throughput,1017.293997965412,catapult,BRAM,17.5,area
Throughput,1033.0578512396694,catapult,CLB,7775,area
Throughput,1033.0578512396694,catapult,LUT,43689,area
Throughput,1033.0578512396694,catapult,FF,8850,area
Throughput,1033.0578512396694,catapult,DSP,0,area
Throughput,1033.0578512396694,catapult,BRAM,17.5,area
Throughput,1018.3299389002036,catapult,CLB,7110,area
Throughput,1018.3299389002036,catapult,LUT,43069,area
Throughput,1018.3299389002036,catapult,FF,8727,area
Throughput,1018.3299389002036,catapult,DSP,0,area
Throughput,1018.3299389002036,catapult,BRAM,17.5,area
Throughput,1053.7407797681772,catapult,CLB,7848,area
Throughput,1053.7407797681772,catapult,LUT,42875,area
Throughput,1053.7407797681772,catapult,FF,8652,area
Throughput,1053.7407797681772,catapult,DSP,0,area
