n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,obj1,obj2
197,1,1,8,2,1,1,4194304,0,0.692036,4249.882
198,1,1,8,2,1,2,2097152,0,0.694177,4325.16
199,1,1,8,2,1,4,1048576,0,0.715917,4426.24
200,1,1,8,2,1,8,524288,0,0.719046,4579.988
201,1,1,8,2,2,1,4194304,0,0.698485,4913.02
202,1,1,8,2,2,2,2097152,0,0.701778,4658.192
203,1,1,8,2,2,4,1048576,0,0.713963,5214.398
204,1,1,8,2,2,8,524288,0,0.71775,5036.444
205,1,1,8,2,4,1,4194304,0,0.705166,5812.632
206,1,1,8,2,4,2,2097152,0,0.69397,5346.6
207,1,1,8,2,4,4,1048576,0,0.698251,5929.14
208,1,1,8,2,4,8,524288,0,0.715374,5689.74
209,1,1,8,2,8,1,4194304,0,0.697064,6568.072
210,1,1,8,2,8,2,2097152,0,0.702826,6382.404
211,1,1,8,2,8,4,1048576,0,0.701509,6565.146
212,1,1,8,2,8,8,524288,0,0.717808,5880.994
213,1,1,8,4,1,1,4194304,0,0.70587,4997.608
214,1,1,8,4,1,2,2097152,0,0.692365,4719.904
215,1,1,8,4,1,4,1048576,0,0.716575,5334.364
216,1,1,8,4,1,8,524288,0,0.719375,5072.886
217,1,1,8,4,2,1,4194304,0,0.695356,5627.762
218,1,1,8,4,2,2,2097152,0,0.688605,5222.378
219,1,1,8,4,2,4,1048576,0,0.70573,5517.904
220,1,1,8,4,2,8,524288,0,0.724995,5570.04
221,1,1,8,4,4,1,4194304,0,0.704342,6521.256
222,1,1,8,4,4,2,2097152,0,0.703025,6310.052
223,1,1,8,4,4,4,1048576,0,0.700062,6700.008
224,1,1,8,4,4,8,524288,0,0.708788,6064.002
225,1,1,8,4,8,1,4194304,0,0.697886,8570.52
226,1,1,8,4,8,2,2097152,0,0.696405,8577.17
227,1,1,8,4,8,4,1048576,0,0.721923,8857.268
228,1,1,8,4,8,8,524288,0,0.725216,7674.898
229,1,1,8,8,1,1,4194304,0,0.701588,5749.59
230,1,1,8,8,1,2,2097152,0,0.694341,5265.204
231,1,1,8,8,1,4,1048576,0,0.696647,6104.966
232,1,1,8,8,1,8,524288,0,0.726456,5250.84
233,1,1,8,8,2,1,4194304,0,0.699308,6056.82
234,1,1,8,8,2,2,2097152,0,0.704906,6498.114
235,1,1,8,8,2,4,1048576,0,0.70787,6995.534
236,1,1,8,8,2,8,524288,0,0.708529,5904.136
237,1,1,8,8,4,1,4194304,0,0.699238,9124.864
238,1,1,8,8,4,2,2097152,0,0.698744,8789.97
239,1,1,8,8,4,4,1048576,0,0.712574,9683.996
240,1,1,8,8,4,8,524288,0,0.70994,8364.902
241,1,2,1,1,1,1,4194304,0,0.553652,4074.056
242,1,2,1,1,1,2,2097152,0,0.558244,4170.88
243,1,2,1,1,1,4,1048576,0,0.558784,4215.834
244,1,2,1,1,1,8,524288,0,0.571616,4362.666
245,1,2,1,1,2,1,4194304,0,0.693586,4145.344
246,1,2,1,1,2,2,2097152,0,0.701004,4262.65
247,1,2,1,1,2,4,1048576,0,0.709939,4370.646
248,1,2,1,1,2,8,524288,0,0.711288,4427.836
249,1,2,1,1,4,1,4194304,0,0.694867,4489.814
250,1,2,1,1,4,2,2097152,0,0.701104,4594.884
251,1,2,1,1,4,4,1048576,0,0.698913,4715.914
252,1,2,1,1,4,8,524288,0,0.725042,4694.634
253,1,2,1,1,8,1,4194304,0,0.696856,5031.39
254,1,2,1,1,8,2,2097152,0,0.694665,5194.448
255,1,2,1,1,8,4,1048576,0,0.713376,5306.7
256,1,2,1,1,8,8,524288,0,0.71641,5151.09
257,1,2,1,2,1,1,4194304,0,0.699116,4137.364
258,1,2,1,2,1,2,2097152,0,0.708728,4277.28
259,1,2,1,2,1,4,1048576,0,0.708896,4384.212
260,1,2,1,2,1,8,524288,0,0.708728,4437.678
261,1,2,1,2,2,1,4194304,0,0.696957,4535.566
262,1,2,1,2,2,2,2097152,0,0.696283,4627.07
263,1,2,1,2,2,4,1048576,0,0.712973,4766.72
264,1,2,1,2,2,8,524288,0,0.714322,4708.732
265,1,2,1,2,4,1,4194304,0,0.694698,5176.094
266,1,2,1,2,4,2,2097152,0,0.701778,5290.74
267,1,2,1,2,4,4,1048576,0,0.709364,5480.398
268,1,2,1,2,4,8,524288,0,0.704475,5298.454
269,1,2,1,2,8,1,4194304,0,0.700564,6211.898
270,1,2,1,2,8,2,2097152,0,0.71169,6356.336
271,1,2,1,2,8,4,1048576,0,0.730063,6332.13
272,1,2,1,2,8,8,524288,0,0.720286,6384.532
273,1,2,1,4,1,1,4194304,0,0.694394,4478.642
274,1,2,1,4,1,2,2097152,0,0.705861,4677.344
275,1,2,1,4,1,4,1048576,0,0.697767,4706.338
276,1,2,1,4,1,8,524288,0,0.71328,4723.894
277,1,2,1,4,2,1,4194304,0,0.696957,5131.14
278,1,2,1,4,2,2,2097152,0,0.697294,5240.466
279,1,2,1,4,2,4,1048576,0,0.711119,5421.346
280,1,2,1,4,2,8,524288,0,0.712467,5243.392
281,1,2,1,4,4,1,4194304,0,0.697226,6376.02
282,1,2,1,4,4,2,2097152,0,0.720153,6761.986
283,1,2,1,4,4,4,1048576,0,0.71813,7198.492
284,1,2,1,4,4,8,524288,0,0.714758,6258.182
285,1,2,1,4,8,1,4194304,0,0.702418,8043.042
286,1,2,1,4,8,2,2097152,0,0.733771,9420.39
287,1,2,1,4,8,4,1048576,0,0.716746,9674.952
288,1,2,1,4,8,8,524288,0,0.718095,7840.882
289,1,2,1,8,1,1,4194304,0,0.687143,5221.314
290,1,2,1,8,1,2,2097152,0,0.703837,5473.216
291,1,2,1,8,1,4,1048576,0,0.716147,5604.886
292,1,2,1,8,1,8,524288,0,0.712774,5398.736
293,1,2,1,8,2,1,4194304,0,0.696451,6752.942
294,1,2,1,8,2,2,2097152,0,0.704206,6916.798
295,1,2,1,8,2,4,1048576,0,0.717694,6751.878
296,1,2,1,8,2,8,524288,0,0.71331,6480.558
297,1,2,1,8,4,1,4194304,0,0.701441,8545.25
298,1,2,1,8,4,2,2097152,0,0.726053,9706.34
299,1,2,1,8,4,4,1048576,0,0.743922,9709
300,1,2,1,8,4,8,524288,0,0.712904,8084.804
301,1,2,2,1,1,1,4194304,0,0.556457,4306.274
302,1,2,2,1,1,2,2097152,0,0.559137,4464.544
303,1,2,2,1,1,4,1048576,0,0.557395,4353.356
304,1,2,2,1,1,8,524288,0,0.573477,4520.404
305,1,2,2,1,2,1,4194304,0,0.700497,4537.96
306,1,2,2,1,2,2,2097152,0,0.703848,4583.18
307,1,2,2,1,2,4,1048576,0,0.713398,4442.732
308,1,2,2,1,2,8,524288,0,0.710047,4600.204
309,1,2,2,1,4,1,4194304,0,0.70512,5147.1
310,1,2,2,1,4,2,2097152,0,0.695571,5212.536
311,1,2,2,1,4,4,1048576,0,0.711318,4741.45
312,1,2,2,1,4,8,524288,0,0.72271,4847.85
313,1,2,2,1,8,1,4194304,0,0.711116,6594.672
314,1,2,2,1,8,2,2097152,0,0.707598,7066.29
315,1,2,2,1,8,4,1048576,0,0.711786,5668.194
316,1,2,2,1,8,8,524288,0,0.737416,5309.36
317,1,2,2,2,1,1,4194304,0,0.700634,4584.51
318,1,2,2,2,1,2,2097152,0,0.717224,4605.258
319,1,2,2,2,1,4,1048576,0,0.706331,4431.028
320,1,2,2,2,1,8,524288,0,0.731635,4599.406
321,1,2,2,2,2,1,4194304,0,0.700497,5151.622
322,1,2,2,2,2,2,2097152,0,0.70234,5219.718
323,1,2,2,2,2,4,1048576,0,0.711052,4855.564
324,1,2,2,2,2,8,524288,0,0.705523,4783.744
325,1,2,2,2,4,1,4194304,0,0.702941,6523.65
326,1,2,2,2,4,2,2097152,0,0.71115,6669.152
327,1,2,2,2,4,4,1048576,0,0.703444,5455.394
328,1,2,2,2,4,8,524288,0,0.741305,5253.234
329,1,2,2,2,8,1,4194304,0,0.743111,9072.994
330,1,2,2,2,8,2,2097152,0,0.760868,9613.772
331,1,2,2,2,8,4,1048576,0,0.70944,6688.57
332,1,2,2,2,8,8,524288,0,0.720161,6654.522
333,1,2,2,4,1,1,4194304,0,0.696612,5078.738
334,1,2,2,4,1,2,2097152,0,0.702477,5131.406
335,1,2,2,4,1,4,1048576,0,0.727278,4754.75
336,1,2,2,4,1,8,524288,0,0.712532,4773.902
337,1,2,2,4,2,1,4194304,0,0.712895,6546.792
338,1,2,2,4,2,2,2097152,0,0.721104,6933.556
339,1,2,2,4,2,4,1048576,0,0.707701,5456.192
340,1,2,2,4,2,8,524288,0,0.707366,5350.59
341,1,2,2,4,4,1,4194304,0,0.719191,9049.32
342,1,2,2,4,4,2,2097152,0,0.706124,9362.402
343,1,2,2,4,4,4,1048576,0,0.714835,6671.014
344,1,2,2,4,4,8,524288,0,0.728405,6204.45
345,1,2,2,4,8,1,4194304,0,0.731385,13301.33
346,1,2,2,4,8,2,2097152,0,0.713963,13940.794
347,1,2,2,4,8,4,1048576,0,0.720161,9027.508
348,1,2,2,4,8,8,524288,0,0.732055,7828.646
349,1,2,2,8,1,1,4194304,0,0.701471,5987.926
350,1,2,2,8,1,2,2097152,0,0.720407,6042.19
351,1,2,2,8,1,4,1048576,0,0.712364,5092.038
352,1,2,2,8,1,8,524288,0,0.72024,5003.46
353,1,2,2,8,2,1,4194304,0,0.715408,8530.088
354,1,2,2,8,2,2,2097152,0,0.690444,9276.75
355,1,2,2,8,2,4,1048576,0,0.709544,6708.786
356,1,2,2,8,2,8,524288,0,0.732832,6371.498
357,1,2,2,8,4,1,4194304,0,0.728572,13582.492
358,1,2,2,8,4,2,2097152,0,0.728908,13929.356
359,1,2,2,8,4,4,1048576,0,0.726227,10045.49
360,1,2,2,8,4,8,524288,0,0.745325,8177.904
361,1,2,4,1,1,1,4194304,0,0.551438,4275.152
362,1,2,4,1,1,2,2097152,0,0.551837,4304.944
363,1,2,4,1,1,4,1048576,0,0.570985,4402.566
364,1,2,4,1,1,8,524288,0,0.588272,4701.55
365,1,2,4,1,2,1,4194304,0,0.688122,4507.104
366,1,2,4,1,2,2,2097152,0,0.701441,4415.068
367,1,2,4,1,2,4,1048576,0,0.691285,4540.62
368,1,2,4,1,2,8,524288,0,0.708933,4694.9
369,1,2,4,1,4,1,4194304,0,0.680729,4845.456
370,1,2,4,1,4,2,2097152,0,0.712526,4810.344
371,1,2,4,1,4,4,1048576,0,0.704868,4928.714
