n,knob_blockdim_x,knob_blockdim_y,knob_unroll_dct,knob_unroll_width,knob_unroll_height,knob_array_partition1,knob_array_partition2,knob_I_B,Latency,Area,FF
0212,1,2,1,2,4,4,1048576,0,0.707173,5388.096,234
0213,1,2,1,2,8,1,4194304,0,0.697193,6274.674,231
0214,1,2,1,2,8,2,2097152,0,0.711015,6383.734,231
0215,1,2,1,2,8,4,1048576,0,0.709498,6855.086,234
0216,1,2,1,4,1,1,4194304,0,0.697092,4529.714,231
0217,1,2,1,4,1,2,2097152,0,0.694732,4669.896,231
0218,1,2,1,4,1,4,1048576,0,0.699116,4755.548,234
0219,1,2,1,4,2,1,4194304,0,0.694765,5209.078,231
0220,1,2,1,4,2,2,2097152,0,0.697969,5285.154,231
0221,1,2,1,4,2,4,1048576,0,0.718199,5594.778,234
0222,1,2,1,4,4,1,4194304,0,0.695709,6301.806,231
0223,1,2,1,4,4,2,2097152,0,0.704981,6519.394,231
0224,1,2,1,4,4,4,1048576,0,0.716781,6613.558,234
0225,1,2,1,4,8,1,4194304,0,0.696013,8790.768,231
0227,1,2,1,4,8,4,1048576,0,0.711689,8655.108,234
0228,1,2,1,8,1,1,4194304,0,0.695237,5139.386,231
0229,1,2,1,8,1,2,2097152,0,0.699959,5521.894,231
0230,1,2,1,8,1,4,1048576,0,0.718339,5668.194,234
0231,1,2,1,8,2,1,4194304,0,0.692911,6273.876,231
0232,1,2,1,8,2,2,2097152,0,0.709264,6571.796,231
0233,1,2,1,8,2,4,1048576,0,0.718199,6827.688,234
0234,1,2,1,8,4,1,4194304,0,0.699923,9033.892,231
0236,1,2,1,8,4,4,1048576,0,0.717624,9401.504,234
0240,1,2,2,1,1,1,4194304,0,0.694854,4477.578,269
0241,1,2,2,1,1,2,2097152,0,0.712756,4473.322,269
0242,1,2,2,1,1,4,1048576,0,0.710079,4332.076,234
0243,1,2,2,1,2,1,4194304,0,0.693881,4946.004,307
0244,1,2,2,1,2,2,2097152,0,0.696223,5009.578,307
0245,1,2,2,1,2,4,1048576,0,0.718806,4632.922,234
0246,1,2,2,1,4,1,4194304,0,0.697828,5701.710,383
0247,1,2,2,1,4,2,2097152,0,0.697828,5826.730,383
0248,1,2,2,1,4,4,1048576,0,0.698831,4973.136,234
0249,1,2,2,1,8,1,4194304,0,0.707661,7554.932,535
0250,1,2,2,1,8,2,2097152,0,0.706658,8229.508,535
0251,1,2,2,1,8,4,1048576,0,0.706992,5655.426,234
0252,1,2,2,2,1,1,4194304,0,0.696359,5070.758,307
0253,1,2,2,2,1,2,2097152,0,0.696694,5166.784,307
0254,1,2,2,2,1,4,1048576,0,0.704892,4722.298,234
0255,1,2,2,2,2,1,4194304,0,0.695219,5896.688,383
0256,1,2,2,2,2,2,2097152,0,0.708434,6339.312,383
0257,1,2,2,2,2,4,1048576,0,0.714456,5054.000,234
0258,1,2,2,2,4,1,4194304,0,0.760217,8062.460,535
0259,1,2,2,2,4,2,2097152,0,0.710874,8304.254,535
0260,1,2,2,2,4,4,1048576,0,0.708365,5893.496,234
0261,1,2,2,2,8,1,4194304,0,0.719871,11778.214,839
0262,1,2,2,2,8,2,2097152,0,0.721710,12035.968,839
0263,1,2,2,2,8,4,1048576,0,0.708497,7682.878,234
0264,1,2,2,4,1,1,4194304,0,0.707736,6051.766,383
0265,1,2,2,4,1,2,2097152,0,0.716771,6678.728,383
0266,1,2,2,4,1,4,1048576,0,0.713257,5265.470,234
0267,1,2,2,4,2,1,4194304,0,0.698062,8052.086,535
0268,1,2,2,4,2,2,2097152,0,0.723489,8653.778,535
0269,1,2,2,4,2,4,1048576,0,0.708601,6045.914,234
0270,1,2,2,4,4,1,4194304,0,0.714720,12149.018,839
0271,1,2,2,4,4,2,2097152,0,0.724756,12063.632,839
0272,1,2,2,4,4,4,1048576,0,0.707863,7333.354,234
0276,1,2,2,8,1,1,4194304,0,0.726977,8704.584,535
0277,1,2,2,8,1,2,2097152,0,0.714094,8643.936,535
0278,1,2,2,8,1,4,1048576,0,0.702884,6629.784,234
0279,1,2,2,8,2,1,4194304,0,0.724994,12151.146,839
0280,1,2,2,8,2,2,2097152,0,0.709939,12402.250,839
0281,1,2,2,8,2,4,1048576,0,0.723322,7370.328,234
0288,1,2,4,1,1,1,4194304,0,0.699204,4343.514,237
0289,1,2,4,1,1,2,2097152,0,0.693560,4323.564,237
0290,1,2,4,1,1,4,1048576,0,0.708999,4418.260,240
0291,1,2,4,1,2,1,4194304,0,0.687614,4666.704,232
0292,1,2,4,1,2,2,2097152,0,0.693589,4668.300,232
0293,1,2,4,1,2,4,1048576,0,0.703548,4761.666,235
0294,1,2,4,1,4,1,4194304,0,0.697172,5237.806,232
0295,1,2,4,1,4,2,2097152,0,0.703146,5187.000,232
0296,1,2,4,1,4,4,1048576,0,0.701155,5488.910,235
0297,1,2,4,1,8,1,4194304,0,0.718544,6923.714,232
0298,1,2,4,1,8,2,2097152,0,0.707094,6959.624,232
0299,1,2,4,1,8,4,1048576,0,0.711741,6389.054,235
0300,1,2,4,2,1,1,4194304,0,0.690572,4557.910,237
0301,1,2,4,2,1,2,2097152,0,0.696880,4572.274,237
0302,1,2,4,2,1,4,1048576,0,0.691070,4672.822,240
0303,1,2,4,2,2,1,4194304,0,0.686286,5311.222,237
0304,1,2,4,2,2,2,2097152,0,0.686286,5205.620,237
0305,1,2,4,2,2,4,1048576,0,0.711016,5426.134,240
0306,1,2,4,2,4,1,4194304,0,0.690865,6336.386,237
0307,1,2,4,2,4,2,2097152,0,0.707129,6455.022,237
0308,1,2,4,2,4,4,1048576,0,0.707792,6751.080,240
0309,1,2,4,2,8,1,4194304,0,0.697635,8536.472,237
0312,1,2,4,4,1,1,4194304,0,0.698540,5045.222,237
0313,1,2,4,4,1,2,2097152,0,0.686089,4814.866,237
0314,1,2,4,4,1,4,1048576,0,0.693061,5042.562,240
0315,1,2,4,4,2,1,4194304,0,0.697572,6950.580,237
0316,1,2,4,4,2,2,2097152,0,0.712177,7002.716,237
0317,1,2,4,4,2,4,1048576,0,0.710683,7417.144,240
0318,1,2,4,4,4,1,4194304,0,0.712107,9556.316,237
0324,1,2,4,8,1,1,4194304,0,0.684761,5437.306,237
0325,1,2,4,8,1,2,2097152,0,0.689409,5160.932,237
0326,1,2,4,8,1,4,1048576,0,0.711488,5423.208,240
0327,1,2,4,8,2,1,4194304,0,0.716492,8945.314,237
0336,1,2,8,1,1,1,4194304,0,0.687371,4300.954,232
0337,1,2,8,1,1,2,2097152,0,0.693281,4474.386,232
0338,1,2,8,1,1,4,1048576,0,0.702803,4605.524,235
0339,1,2,8,1,2,1,4194304,0,0.698231,4637.444,232
0340,1,2,8,1,2,2,2097152,0,0.697903,4856.362,232
0341,1,2,8,1,2,4,1048576,0,0.711526,4968.348,235
0342,1,2,8,1,4,1,4194304,0,0.706039,5838.434,232
0343,1,2,8,1,4,2,2097152,0,0.699967,5962.390,232
0344,1,2,8,1,4,4,1048576,0,0.701772,6389.586,235
0345,1,2,8,1,8,1,4194304,0,0.694516,7315.532,232
0346,1,2,8,1,8,2,2097152,0,0.700916,7958.986,232
0347,1,2,8,1,8,4,1048576,0,0.699275,7365.274,235
0348,1,2,8,2,1,1,4194304,0,0.697549,4655.798,232
0349,1,2,8,2,1,2,2097152,0,0.697385,4873.918,232
0350,1,2,8,2,1,4,1048576,0,0.710190,5033.784,235
0351,1,2,8,2,2,1,4194304,0,0.696261,5251.106,232
0352,1,2,8,2,2,2,2097152,0,0.689039,5677.770,232
0353,1,2,8,2,2,4,1048576,0,0.692322,5822.740,235
0354,1,2,8,2,4,1,4194304,0,0.700130,7382.032,232
0355,1,2,8,2,4,2,2097152,0,0.704726,8820.294,232
0356,1,2,8,2,4,4,1048576,0,0.705874,8202.908,235
0360,1,2,8,4,1,1,4194304,0,0.694758,6195.672,232
0361,1,2,8,4,1,2,2097152,0,0.694594,5952.548,232
0362,1,2,8,4,1,4,1048576,0,0.701325,6351.814,235
0363,1,2,8,4,2,1,4194304,0,0.702498,7287.336,232
0364,1,2,8,4,2,2,2097152,0,0.696096,7576.744,232
0365,1,2,8,4,2,4,1048576,0,0.706765,7803.642,235
0372,1,2,8,8,1,1,4194304,0,0.695086,7626.752,232
0373,1,2,8,8,1,2,2097152,0,0.702145,7604.674,232
0374,1,2,8,8,1,4,1048576,0,0.702638,8248.394,235
0384,1,4,1,1,1,1,4194304,0,0.552577,4085.494,236
0385,1,4,1,1,1,2,2097152,0,0.555408,4334.736,236
0386,1,4,1,1,1,4,1048576,0,0.557700,4246.690,239
0387,1,4,1,1,2,1,4194304,0,0.703786,4235.518,233
0388,1,4,1,1,2,2,2097152,0,0.705469,4350.430,233
0389,1,4,1,1,2,4,1048576,0,0.699914,4377.562,236
0390,1,4,1,1,4,1,4194304,0,0.692608,4453.904,233
0391,1,4,1,1,4,2,2097152,0,0.693955,4596.746,233
0392,1,4,1,1,4,4,1048576,0,0.703044,4693.570,236
0393,1,4,1,1,8,1,4194304,0,0.697624,4997.874,233
0394,1,4,1,1,8,2,2097152,0,0.719672,5214.398,233
0395,1,4,1,1,8,4,1048576,0,0.716642,5449.276,236
0396,1,4,1,2,1,1,4194304,0,0.687928,4188.436,233
0397,1,4,1,2,1,2,2097152,0,0.704932,4376.498,233
0398,1,4,1,2,1,4,1048576,0,0.704595,4426.506,236
0399,1,4,1,2,2,1,4194304,0,0.692844,4504.710,233
0400,1,4,1,2,2,2,2097152,0,0.699577,4630.794,233
0401,1,4,1,2,2,4,1048576,0,0.699913,4714.318,236
0402,1,4,1,2,4,1,4194304,0,0.687727,4948.664,233
0403,1,4,1,2,4,2,2097152,0,0.709439,5224.240,233
0404,1,4,1,2,4,4,1048576,0,0.696816,5483.856,236
0405,1,4,1,2,8,1,4194304,0,0.702672,6554.506,233
0406,1,4,1,2,8,2,2097152,0,0.716978,8459.598,233
0407,1,4,1,2,8,4,1048576,0,0.733136,6339.844,236
0408,1,4,1,4,1,1,4194304,0,0.693315,4483.696,233
0409,1,4,1,4,1,2,2097152,0,0.695504,4722.830,233
0410,1,4,1,4,1,4,1048576,0,0.717222,4799.970,236
0411,1,4,1,4,2,1,4194304,0,0.697220,5033.518,233
0412,1,4,1,4,2,2,2097152,0,0.697725,5168.912,233
0413,1,4,1,4,2,4,1048576,0,0.696883,5386.234,236
0414,1,4,1,4,4,1,4194304,0,0.708092,6567.806,233
0415,1,4,1,4,4,2,2097152,0,0.701360,6631.114,233
0416,1,4,1,4,4,4,1048576,0,0.711795,6773.158,236
0420,1,4,1,8,1,1,4194304,0,0.694830,5003.194,233
0421,1,4,1,8,1,2,2097152,0,0.697187,5248.446,233
0422,1,4,1,8,1,4,1048576,0,0.716549,5347.664,236
0423,1,4,1,8,2,1,4194304,0,0.703953,7094.220,233
0424,1,4,1,8,2,2,2097152,0,0.708161,8397.886,233
0425,1,4,1,8,2,4,1048576,0,0.716578,7129.066,236
0432,1,4,2,1,1,1,4194304,0,0.714145,4782.680,308
0433,1,4,2,1,1,2,2097152,0,0.712475,4825.506,308
0434,1,4,2,1,1,4,1048576,0,0.722331,4427.304,235
0435,1,4,2,1,2,1,4194304,0,0.693963,5745.068,384
0436,1,4,2,1,2,2,2097152,0,0.693295,5869.556,384
0437,1,4,2,1,2,4,1048576,0,0.702648,4885.356,235
0438,1,4,2,1,4,1,4194304,0,0.714102,7865.886,536
0439,1,4,2,1,4,2,2097152,0,0.708925,7862.694,536
0440,1,4,2,1,4,4,1048576,0,0.713267,5537.854,235
0441,1,4,2,1,8,1,4194304,0,0.709725,10911.320,840
0442,1,4,2,1,8,2,2097152,0,0.713399,11266.430,840
0443,1,4,2,1,8,4,1048576,0,0.706719,6484.814,235
0444,1,4,2,2,1,1,4194304,0,0.691426,5755.708,384
0445,1,4,2,2,1,2,2097152,0,0.691760,5911.052,384
0446,1,4,2,2,1,4,1048576,0,0.707463,4886.952,235
0447,1,4,2,2,2,1,4194304,0,0.713671,7739.802,536
0448,1,4,2,2,2,2,2097152,0,0.710998,7870.940,536
0449,1,4,2,2,2,4,1048576,0,0.706322,5622.442,235
0450,1,4,2,2,4,1,4194304,0,0.723287,10820.082,840
0451,1,4,2,2,4,2,2097152,0,0.713267,11055.492,840
0452,1,4,2,2,4,4,1048576,0,0.715104,6665.960,235
0453,1,4,2,2,8,1,4194304,0,0.756149,17891.957,1448
0455,1,4,2,2,8,4,1048576,0,0.728094,9194.024,235
0456,1,4,2,4,1,1,4194304,0,0.718655,7767.998,536
0457,1,4,2,4,1,2,2097152,0,0.709133,7642.446,536
0458,1,4,2,4,1,4,1048576,0,0.707629,5732.566,235
0459,1,4,2,4,2,1,4194304,0,0.708159,11436.138,840
0460,1,4,2,4,2,2,2097152,0,0.710831,10827.796,840
0461,1,4,2,4,2,4,1048576,0,0.705987,6909.616,235
0462,1,4,2,4,4,1,4194304,0,0.708924,16980.908,1448
0468,1,4,2,8,1,1,4194304,0,0.706794,11334.526,840
0469,1,4,2,8,1,2,2097152,0,0.706961,11578.182,840
0470,1,4,2,8,1,4,1048576,0,0.716817,7124.810,235
0471,1,4,2,8,2,1,4194304,0,0.744736,17900.471,1448
0473,1,4,2,8,2,4,1048576,0,0.708994,9850.246,235
0480,1,4,4,1,1,1,4194304,0,0.691471,4575.732,237
0481,1,4,4,1,1,2,2097152,0,0.701581,4581.584,236
0482,1,4,4,1,1,4,1048576,0,0.695448,4652.606,240
0483,1,4,4,1,2,1,4194304,0,0.711882,5071.822,232
0484,1,4,4,1,2,2,2097152,0,0.695642,5033.518,231
0485,1,4,4,1,2,4,1048576,0,0.699785,5202.694,235
0486,1,4,4,1,4,1,4194304,0,0.689774,5932.332,232
0487,1,4,4,1,4,2,2097152,0,0.713137,5929.406,231
0488,1,4,4,1,4,4,1048576,0,0.694579,6567.806,235
0489,1,4,4,1,8,1,4194304,0,0.697196,7628.348,232
0490,1,4,4,1,8,2,2097152,0,0.705149,8167.264,231
0491,1,4,4,1,8,4,1048576,0,0.705977,7404.642,235
0492,1,4,4,2,1,1,4194304,0,0.694951,5068.630,237
0493,1,4,4,2,1,2,2097152,0,0.692299,5089.910,236
0494,1,4,4,2,1,4,1048576,0,0.709536,5142.578,240
0495,1,4,4,2,2,1,4194304,0,0.673934,6554.506,237
0496,1,4,4,2,2,2,2097152,0,0.693985,6392.246,236
0497,1,4,4,2,2,4,1048576,0,0.709396,6484.548,240
0498,1,4,4,2,4,1,4194304,0,0.720758,7911.106,237
0499,1,4,4,2,4,2,2097152,0,0.722581,7668.248,236
0500,1,4,4,2,4,4,1048576,0,0.723906,8770.020,240
0504,1,4,4,4,1,1,4194304,0,0.703237,6116.670,237
0505,1,4,4,4,1,2,2097152,0,0.711524,6027.560,236
0506,1,4,4,4,1,4,1048576,0,0.710861,6101.242,240
0507,1,4,4,4,2,1,4194304,0,0.696967,8550.038,237
0508,1,4,4,4,2,2,2097152,0,0.749331,8075.760,236
0509,1,4,4,4,2,4,1048576,0,0.712544,8264.886,240
0516,1,4,4,8,1,1,4194304,0,0.708541,8323.938,237
0517,1,4,4,8,1,2,2097152,0,0.730916,8749.804,236
0518,1,4,4,8,1,4,1048576,0,0.736883,8763.104,240
0528,1,4,8,1,1,1,4194304,0,0.736457,4544.610,239
0529,1,4,8,1,1,2,2097152,0,0.697550,4691.974,231
0530,1,4,8,1,1,4,1048576,0,0.701490,4788.532,234
0531,1,4,8,1,2,1,4194304,0,0.703155,4960.368,233
0532,1,4,8,1,2,2,2097152,0,0.701021,5133.268,231
