Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Flow
Throughput,1.4389503720406187,catapult,Area,5068.630,latency
Throughput,1.4444625804746216,catapult,Area,5089.910,latency
Throughput,1.4093717584449557,catapult,Area,5142.578,latency
Throughput,1.4838248255763917,catapult,Area,6554.506,latency
Throughput,1.4409533347262549,catapult,Area,6392.246,latency
Throughput,1.4096498993509972,catapult,Area,6484.548,latency
Throughput,1.3874282352745304,catapult,Area,7911.106,latency
Throughput,1.3839278918211244,catapult,Area,7668.248,latency
Throughput,1.3813948219796492,catapult,Area,8770.020,latency
Throughput,1.4219957141049178,catapult,Area,6116.670,latency
Throughput,1.405433969901226,catapult,Area,6027.560,latency
Throughput,1.4067447785150684,catapult,Area,6101.242,latency
Throughput,1.4347881607020132,catapult,Area,8550.038,latency
Throughput,1.3345237284991547,catapult,Area,8075.760,latency
Throughput,1.403422104459514,catapult,Area,8264.886,latency
Throughput,1.4113509309976418,catapult,Area,8323.938,latency
Throughput,1.3681462712541523,catapult,Area,8749.804,latency
Throughput,1.357067539894393,catapult,Area,8763.104,latency
Throughput,1.357852529068228,catapult,Area,4544.610,latency
Throughput,1.4335889900365566,catapult,Area,4691.974,latency
Throughput,1.4255370710915338,catapult,Area,4788.532,latency
Throughput,1.4221615433297068,catapult,Area,4960.368,latency
Throughput,1.4264907898622152,catapult,Area,5133.268,latency
Throughput,1.4291675956256038,catapult,Area,5194.714,latency
Throughput,1.4319979952028068,catapult,Area,5841.892,latency
Throughput,1.4333444656420165,catapult,Area,6304.200,latency
Throughput,1.4462738201298175,catapult,Area,6396.236,latency
Throughput,1.450475683500404,catapult,Area,7626.486,latency
Throughput,1.4530849720499106,catapult,Area,5183.808,latency
Throughput,1.436973618601336,catapult,Area,5317.074,latency
Throughput,1.3521260830529924,catapult,Area,5401.396,latency
Throughput,1.362680010029325,catapult,Area,6229.986,latency
Throughput,1.410311918687056,catapult,Area,6929.300,latency
Throughput,1.4278289575135215,catapult,Area,7197.162,latency
Throughput,1.3927208054382962,catapult,Area,8025.486,latency
Throughput,1.4437847952135645,catapult,Area,6162.954,latency
Throughput,1.4373123409074902,catapult,Area,6437.200,latency
Throughput,1.3828217584238045,catapult,Area,6600.524,latency
Throughput,1.398014818957081,catapult,Area,8664.418,latency
