n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,obj1,obj2
0508,4,1,2,3,32,0.6135,3544
0509,4,1,2,3,64,0.5762,5675
0510,4,1,2,3,128,0.5762,5675
0511,4,1,2,4,2,0.6509,3100
0512,4,1,2,4,4,0.6715,3451
0513,4,1,2,4,8,0.6462,3793
0514,4,1,2,4,16,0.5968,4329
0515,4,1,2,4,32,0.6258,5575
0516,4,1,2,4,64,0.6092,7235
0517,4,1,2,4,128,0.6092,7235
0518,4,1,2,5,2,0.6266,3519
0519,4,1,2,5,4,0.6242,4378
0520,4,1,2,5,8,0.6214,4631
0521,4,1,2,5,16,0.5966,5223
0522,4,1,2,5,32,0.6362,6560
0523,4,1,2,5,64,0.6450,8794
0525,4,1,3,1,2,0.6615,1751
0526,4,1,3,1,4,0.4820,1809
0527,4,1,3,1,8,0.5012,1885
0528,4,1,3,1,16,0.5124,2086
0529,4,1,3,1,32,0.5370,2533
0530,4,1,3,1,64,0.4916,3324
0531,4,1,3,1,128,0.4916,3324
0532,4,1,3,2,2,0.7918,2722
0533,4,1,3,2,4,0.6105,2772
0534,4,1,3,2,8,0.6552,3033
0535,4,1,3,2,16,0.5986,3388
0536,4,1,3,2,32,0.5894,4179
0537,4,1,3,2,64,0.6740,5468
0538,4,1,3,2,128,0.6740,5468
0539,4,1,3,3,2,0.8040,3634
0540,4,1,3,3,4,0.6353,3756
0541,4,1,3,3,8,0.7137,4090
0542,4,1,3,3,16,0.6841,4488
0543,4,1,3,3,32,0.6452,5834
0544,4,1,3,3,64,0.6788,7725
0545,4,1,3,3,128,0.6788,7725
0546,4,1,3,4,2,0.8593,4453
0547,4,1,3,4,4,0.7318,4418
0548,4,1,3,4,8,0.6985,4617
0549,4,1,3,4,16,0.6803,5505
0550,4,1,3,4,32,0.6803,5505
0551,4,1,3,4,64,0.6803,5505
0553,4,1,3,5,2,0.8265,5443
0554,4,1,3,5,4,0.6934,5335
0555,4,1,3,5,8,0.7634,5809
0556,4,1,3,5,16,0.6979,6855
0557,4,1,3,5,32,0.7542,8978
0558,4,1,3,5,64,0.7542,8978
0560,4,1,4,1,2,0.4469,1691
0561,4,1,4,1,4,0.4751,1901
0562,4,1,4,1,8,0.5048,2143
0563,4,1,4,1,16,0.4818,2277
0564,4,1,4,1,32,0.4456,2820
0565,4,1,4,1,64,0.5398,3800
0566,4,1,4,1,128,0.4910,5507
0567,4,1,4,2,2,0.5331,2433
0568,4,1,4,2,4,0.5378,2987
0569,4,1,4,2,8,0.5561,3408
0570,4,1,4,2,16,0.5427,3796
0571,4,1,4,2,32,0.6156,4925
0572,4,1,4,2,64,0.6156,4925
0573,4,1,4,2,128,0.6156,4925
