Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Flow
Throughput,20408.163265306124,catapult,FF,1381,area
Throughput,20408.163265306124,catapult,DSP,0,area
Throughput,20408.163265306124,catapult,BRAM,0,area
Throughput,20833.333333333332,catapult,CLB,455,area
Throughput,20833.333333333332,catapult,LUT,2897,area
Throughput,20833.333333333332,catapult,FF,1429,area
Throughput,20833.333333333332,catapult,DSP,0,area
Throughput,20833.333333333332,catapult,BRAM,0,area
Throughput,21739.130434782608,catapult,CLB,481,area
Throughput,21739.130434782608,catapult,LUT,3000,area
Throughput,21739.130434782608,catapult,FF,1579,area
Throughput,21739.130434782608,catapult,DSP,0,area
Throughput,21739.130434782608,catapult,BRAM,0,area
Throughput,27027.027027027027,catapult,CLB,701,area
Throughput,27027.027027027027,catapult,LUT,4174,area
Throughput,27027.027027027027,catapult,FF,1294,area
Throughput,27027.027027027027,catapult,DSP,0,area
Throughput,27027.027027027027,catapult,BRAM,0,area
Throughput,26315.78947368421,catapult,CLB,300,area
Throughput,26315.78947368421,catapult,LUT,1675,area
Throughput,26315.78947368421,catapult,FF,894,area
Throughput,26315.78947368421,catapult,DSP,0,area
Throughput,26315.78947368421,catapult,BRAM,0,area
Throughput,20408.163265306124,catapult,CLB,552,area
Throughput,20408.163265306124,catapult,LUT,2787,area
Throughput,20408.163265306124,catapult,FF,1328,area
Throughput,20408.163265306124,catapult,DSP,0,area
Throughput,20408.163265306124,catapult,BRAM,0,area
Throughput,20833.333333333332,catapult,CLB,411,area
Throughput,20833.333333333332,catapult,LUT,2684,area
Throughput,20833.333333333332,catapult,FF,1435,area
Throughput,20833.333333333332,catapult,DSP,0,area
Throughput,20833.333333333332,catapult,BRAM,0,area
Throughput,20408.163265306124,catapult,CLB,514,area
Throughput,20408.163265306124,catapult,LUT,3131,area
Throughput,20408.163265306124,catapult,FF,1578,area
Throughput,20408.163265306124,catapult,DSP,0,area
Throughput,20408.163265306124,catapult,BRAM,0,area
