n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2,FF
0330,2,3,1,2,512,1,0,0.000020,4392.192,202
0331,2,3,1,2,512,2,0,0.000025,5144.706,297
0332,2,3,1,2,256,1,0,0.000022,5242.594,262
0333,2,3,1,2,256,2,0,0.000026,5306.434,268
0334,2,3,1,2,128,1,0,0.000022,5936.056,267
0335,2,3,1,2,128,2,0,0.000025,5995.108,273
0336,2,3,1,2,64,1,0,0.000022,6468.854,285
0337,2,3,1,2,64,2,0,0.000026,6457.416,299
0338,2,3,1,2,32,1,0,0.000023,8399.216,337
0339,2,3,1,2,32,2,0,0.000026,8241.212,353
0340,2,3,1,3,512,1,0,0.000020,4392.192,202
0341,2,3,1,3,512,2,0,0.000025,5144.706,297
0342,2,3,1,3,256,1,0,0.000022,5242.594,262
0343,2,3,1,3,256,2,0,0.000026,5306.434,268
0344,2,3,1,3,128,1,0,0.000022,5936.056,267
0345,2,3,1,3,128,2,0,0.000025,5995.108,273
0346,2,3,1,3,64,1,0,0.000022,6468.854,285
0347,2,3,1,3,64,2,0,0.000026,6457.416,299
0348,2,3,1,3,32,1,0,0.000023,8399.216,337
0349,2,3,1,3,32,2,0,0.000026,8241.212,353
0350,2,3,1,4,512,1,0,0.000020,4392.192,202
0351,2,3,1,4,512,2,0,0.000025,5144.706,297
0352,2,3,1,4,256,1,0,0.000022,5242.594,262
0353,2,3,1,4,256,2,0,0.000026,5306.434,268
0354,2,3,1,4,128,1,0,0.000022,5936.056,267
0355,2,3,1,4,128,2,0,0.000025,5995.108,273
0356,2,3,1,4,64,1,0,0.000022,6468.854,285
0357,2,3,1,4,64,2,0,0.000026,6457.416,299
0358,2,3,1,4,32,1,0,0.000023,8399.216,337
0359,2,3,1,4,32,2,0,0.000026,8241.212,353
0360,2,3,2,1,512,1,0,0.000055,4560.836,224
0361,2,3,2,1,512,2,0,0.000058,4648.616,256
0362,2,3,2,1,256,1,0,0.000055,4832.156,226
0363,2,3,2,1,256,2,0,0.000058,4997.342,258
0364,2,3,2,1,128,1,0,0.000056,5375.328,230
0365,2,3,2,1,128,2,0,0.000061,5522.426,262
0366,2,3,2,1,64,1,0,0.000056,5914.776,245
0367,2,3,2,1,64,2,0,0.000060,5936.322,277
0368,2,3,2,1,32,1,0,0.000057,7394.800,280
0369,2,3,2,1,32,2,0,0.000061,7462.896,312
0370,2,3,2,2,512,1,0,0.000020,4392.192,202
0371,2,3,2,2,512,2,0,0.000025,5144.706,297
0372,2,3,2,2,256,1,0,0.000022,5242.594,262
0373,2,3,2,2,256,2,0,0.000026,5306.434,268
0374,2,3,2,2,128,1,0,0.000022,5936.056,267
0375,2,3,2,2,128,2,0,0.000025,5995.108,273
0376,2,3,2,2,64,1,0,0.000022,6468.854,285
0377,2,3,2,2,64,2,0,0.000026,6457.416,299
0378,2,3,2,2,32,1,0,0.000023,8399.216,337
0379,2,3,2,2,32,2,0,0.000026,8241.212,353
0380,2,3,2,3,512,1,0,0.000020,4392.192,202
0381,2,3,2,3,512,2,0,0.000025,5144.706,297
0382,2,3,2,3,256,1,0,0.000022,5242.594,262
0383,2,3,2,3,256,2,0,0.000026,5306.434,268
0384,2,3,2,3,128,1,0,0.000022,5936.056,267
0385,2,3,2,3,128,2,0,0.000025,5995.108,273
0386,2,3,2,3,64,1,0,0.000022,6468.854,285
0387,2,3,2,3,64,2,0,0.000026,6457.416,299
0388,2,3,2,3,32,1,0,0.000023,8399.216,337
0389,2,3,2,3,32,2,0,0.000026,8241.212,353
0390,2,3,2,4,512,1,0,0.000020,4392.192,202
0391,2,3,2,4,512,2,0,0.000025,5144.706,297
0392,2,3,2,4,256,1,0,0.000022,5242.594,262
0393,2,3,2,4,256,2,0,0.000026,5306.434,268
0394,2,3,2,4,128,1,0,0.000022,5936.056,267
0395,2,3,2,4,128,2,0,0.000025,5995.108,273
