n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_part1,knob_array_part2,knob_I_B,obj1,obj2
251,2,2,3,2,512,2,0,2.4E-05,4711.658
252,2,2,3,2,256,1,0,2.2E-05,5094.964
253,2,2,3,2,256,2,0,2.4E-05,4953.984
254,2,2,3,2,128,1,0,2.3E-05,5690.006
255,2,2,3,2,128,2,0,2.4E-05,5703.04
256,2,2,3,2,64,1,0,2.3E-05,6069.588
257,2,2,3,2,64,2,0,2.5E-05,6189.82
258,2,2,3,2,32,1,0,2.4E-05,7574.882
259,2,2,3,2,32,2,0,2.5E-05,7868.546
260,2,2,3,3,512,1,0,2.1E-05,4138.96
261,2,2,3,3,512,2,0,2.4E-05,4711.658
262,2,2,3,3,256,1,0,2.2E-05,5094.964
263,2,2,3,3,256,2,0,2.4E-05,4953.984
264,2,2,3,3,128,1,0,2.3E-05,5690.006
265,2,2,3,3,128,2,0,2.4E-05,5703.04
266,2,2,3,3,64,1,0,2.3E-05,6069.588
267,2,2,3,3,64,2,0,2.5E-05,6189.82
268,2,2,3,3,32,1,0,2.4E-05,7574.882
269,2,2,3,3,32,2,0,2.5E-05,7868.546
270,2,2,3,4,512,1,0,2.1E-05,4138.96
271,2,2,3,4,512,2,0,2.4E-05,4711.658
272,2,2,3,4,256,1,0,2.2E-05,5094.964
273,2,2,3,4,256,2,0,2.4E-05,4953.984
274,2,2,3,4,128,1,0,2.3E-05,5690.006
275,2,2,3,4,128,2,0,2.4E-05,5703.04
276,2,2,3,4,64,1,0,2.3E-05,6069.588
277,2,2,3,4,64,2,0,2.5E-05,6189.82
278,2,2,3,4,32,1,0,2.4E-05,7574.882
279,2,2,3,4,32,2,0,2.5E-05,7868.546
280,2,2,4,1,512,1,0,5.5E-05,4263.98
281,2,2,4,1,512,2,0,5.9E-05,4212.642
282,2,2,4,1,256,1,0,5.5E-05,4564.028
283,2,2,4,1,256,2,0,5.7E-05,4560.836
284,2,2,4,1,128,1,0,5.6E-05,4975.53
285,2,2,4,1,128,2,0,5.9E-05,4978.456
286,2,2,4,1,64,1,0,5.6E-05,5551.952
287,2,2,4,1,64,2,0,6E-05,5427.464
288,2,2,4,1,32,1,0,5.7E-05,6935.684
289,2,2,4,1,32,2,0,6.1E-05,6806.94
290,2,2,4,2,512,1,0,2.1E-05,4138.96
291,2,2,4,2,512,2,0,2.4E-05,4711.658
292,2,2,4,2,256,1,0,2.2E-05,5094.964
293,2,2,4,2,256,2,0,2.4E-05,4953.984
294,2,2,4,2,128,1,0,2.3E-05,5690.006
295,2,2,4,2,128,2,0,2.4E-05,5703.04
296,2,2,4,2,64,1,0,2.3E-05,6069.588
297,2,2,4,2,64,2,0,2.5E-05,6189.82
298,2,2,4,2,32,1,0,2.4E-05,7574.882
299,2,2,4,2,32,2,0,2.5E-05,7868.546
300,2,2,4,3,512,1,0,2.1E-05,4138.96
301,2,2,4,3,512,2,0,2.4E-05,4711.658
302,2,2,4,3,256,1,0,2.2E-05,5094.964
303,2,2,4,3,256,2,0,2.4E-05,4953.984
304,2,2,4,3,128,1,0,2.3E-05,5690.006
305,2,2,4,3,128,2,0,2.4E-05,5703.04
306,2,2,4,3,64,1,0,2.3E-05,6069.588
307,2,2,4,3,64,2,0,2.5E-05,6189.82
308,2,2,4,3,32,1,0,2.4E-05,7574.882
309,2,2,4,3,32,2,0,2.5E-05,7868.546
310,2,2,4,4,512,1,0,2.1E-05,4138.96
311,2,2,4,4,512,2,0,2.4E-05,4711.658
312,2,2,4,4,256,1,0,2.2E-05,5094.964
313,2,2,4,4,256,2,0,2.4E-05,4953.984
314,2,2,4,4,128,1,0,2.3E-05,5690.006
315,2,2,4,4,128,2,0,2.4E-05,5703.04
316,2,2,4,4,64,1,0,2.3E-05,6069.588
317,2,2,4,4,64,2,0,2.5E-05,6189.82
318,2,2,4,4,32,1,0,2.4E-05,7574.882
319,2,2,4,4,32,2,0,2.5E-05,7868.546
320,2,3,1,1,512,1,0,5.5E-05,4560.836
321,2,3,1,1,512,2,0,5.8E-05,4648.616
322,2,3,1,1,256,1,0,5.5E-05,4832.156
323,2,3,1,1,256,2,0,5.8E-05,4997.342
324,2,3,1,1,128,1,0,5.6E-05,5375.328
325,2,3,1,1,128,2,0,6.1E-05,5522.426
326,2,3,1,1,64,1,0,5.6E-05,5914.776
327,2,3,1,1,64,2,0,6E-05,5936.322
328,2,3,1,1,32,1,0,5.7E-05,7394.8
329,2,3,1,1,32,2,0,6.1E-05,7462.896
330,2,3,1,2,512,1,0,2E-05,4392.192
331,2,3,1,2,512,2,0,2.5E-05,5144.706
332,2,3,1,2,256,1,0,2.2E-05,5242.594
333,2,3,1,2,256,2,0,2.6E-05,5306.434
334,2,3,1,2,128,1,0,2.2E-05,5936.056
335,2,3,1,2,128,2,0,2.5E-05,5995.108
336,2,3,1,2,64,1,0,2.2E-05,6468.854
337,2,3,1,2,64,2,0,2.6E-05,6457.416
338,2,3,1,2,32,1,0,2.3E-05,8399.216
339,2,3,1,2,32,2,0,2.6E-05,8241.212
340,2,3,1,3,512,1,0,2E-05,4392.192
341,2,3,1,3,512,2,0,2.5E-05,5144.706
342,2,3,1,3,256,1,0,2.2E-05,5242.594
343,2,3,1,3,256,2,0,2.6E-05,5306.434
344,2,3,1,3,128,1,0,2.2E-05,5936.056
345,2,3,1,3,128,2,0,2.5E-05,5995.108
346,2,3,1,3,64,1,0,2.2E-05,6468.854
347,2,3,1,3,64,2,0,2.6E-05,6457.416
348,2,3,1,3,32,1,0,2.3E-05,8399.216
349,2,3,1,3,32,2,0,2.6E-05,8241.212
350,2,3,1,4,512,1,0,2E-05,4392.192
351,2,3,1,4,512,2,0,2.5E-05,5144.706
352,2,3,1,4,256,1,0,2.2E-05,5242.594
353,2,3,1,4,256,2,0,2.6E-05,5306.434
354,2,3,1,4,128,1,0,2.2E-05,5936.056
355,2,3,1,4,128,2,0,2.5E-05,5995.108
356,2,3,1,4,64,1,0,2.2E-05,6468.854
357,2,3,1,4,64,2,0,2.6E-05,6457.416
358,2,3,1,4,32,1,0,2.3E-05,8399.216
359,2,3,1,4,32,2,0,2.6E-05,8241.212
360,2,3,2,1,512,1,0,5.5E-05,4560.836
361,2,3,2,1,512,2,0,5.8E-05,4648.616
362,2,3,2,1,256,1,0,5.5E-05,4832.156
363,2,3,2,1,256,2,0,5.8E-05,4997.342
364,2,3,2,1,128,1,0,5.6E-05,5375.328
365,2,3,2,1,128,2,0,6.1E-05,5522.426
366,2,3,2,1,64,1,0,5.6E-05,5914.776
367,2,3,2,1,64,2,0,6E-05,5936.322
368,2,3,2,1,32,1,0,5.7E-05,7394.8
369,2,3,2,1,32,2,0,6.1E-05,7462.896
370,2,3,2,2,512,1,0,2E-05,4392.192
371,2,3,2,2,512,2,0,2.5E-05,5144.706
372,2,3,2,2,256,1,0,2.2E-05,5242.594
373,2,3,2,2,256,2,0,2.6E-05,5306.434
374,2,3,2,2,128,1,0,2.2E-05,5936.056
375,2,3,2,2,128,2,0,2.5E-05,5995.108
376,2,3,2,2,64,1,0,2.2E-05,6468.854
377,2,3,2,2,64,2,0,2.6E-05,6457.416
378,2,3,2,2,32,1,0,2.3E-05,8399.216
379,2,3,2,2,32,2,0,2.6E-05,8241.212
380,2,3,2,3,512,1,0,2E-05,4392.192
381,2,3,2,3,512,2,0,2.5E-05,5144.706
382,2,3,2,3,256,1,0,2.2E-05,5242.594
383,2,3,2,3,256,2,0,2.6E-05,5306.434
384,2,3,2,3,128,1,0,2.2E-05,5936.056
385,2,3,2,3,128,2,0,2.5E-05,5995.108
386,2,3,2,3,64,1,0,2.2E-05,6468.854
387,2,3,2,3,64,2,0,2.6E-05,6457.416
388,2,3,2,3,32,1,0,2.3E-05,8399.216
389,2,3,2,3,32,2,0,2.6E-05,8241.212
390,2,3,2,4,512,1,0,2E-05,4392.192
391,2,3,2,4,512,2,0,2.5E-05,5144.706
392,2,3,2,4,256,1,0,2.2E-05,5242.594
393,2,3,2,4,256,2,0,2.6E-05,5306.434
394,2,3,2,4,128,1,0,2.2E-05,5936.056
395,2,3,2,4,128,2,0,2.5E-05,5995.108
396,2,3,2,4,64,1,0,2.2E-05,6468.854
397,2,3,2,4,64,2,0,2.6E-05,6457.416
398,2,3,2,4,32,1,0,2.3E-05,8399.216
399,2,3,2,4,32,2,0,2.6E-05,8241.212
400,2,3,3,1,512,1,0,5.5E-05,4560.836
401,2,3,3,1,512,2,0,5.8E-05,4648.616
402,2,3,3,1,256,1,0,5.5E-05,4832.156
