n,knob_KNOB_HIST_SIZE,knob_KNOB_NUM_HIST,knob_KNOB_UNROLL_LLM,knob_KNOB_UNROLL_LP,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
347,256,3,3,2,0,16384,0.000409,1206.576
348,256,3,3,2,0,32768,0.000407,1183.434
349,256,3,3,2,0,65536,0.000396,1044.05
350,256,3,3,3,0,1024,0.000469,1312.444
351,256,3,3,3,0,2048,0.000479,1285.046
352,256,3,3,3,0,4096,0.000445,1171.73
353,256,3,3,3,0,8192,0.000435,1170.932
354,256,3,3,3,0,16384,0.000434,1231.58
355,256,3,3,3,0,32768,0.000422,1164.814
356,256,3,3,3,0,65536,0.000424,1091.93
357,256,3,4,1,0,1024,0.000292,1031.016
358,256,3,4,1,0,2048,0.000304,1033.41
359,256,3,4,1,0,4096,0.000296,1032.08
360,256,3,4,1,0,8192,0.000304,1033.41
361,256,3,4,1,0,16384,0.000303,1033.676
362,256,3,4,1,0,32768,0.000307,1029.42
363,256,3,4,1,0,65536,0.000314,948.29
364,256,3,4,2,0,1024,0.000344,1312.71
365,256,3,4,2,0,2048,0.000349,1284.514
366,256,3,4,2,0,4096,0.000345,1290.366
367,256,3,4,2,0,8192,0.000343,1289.568
368,256,3,4,2,0,16384,0.000343,1307.922
369,256,3,4,2,0,32768,0.000333,1282.918
370,256,3,4,2,0,65536,0.000387,1062.404
371,256,3,4,3,0,1024,0.000358,1257.382
372,256,3,4,3,0,2048,0.000331,1236.634
373,256,3,4,3,0,4096,0.000331,1240.89
374,256,3,4,3,0,8192,0.000344,1240.624
375,256,3,4,3,0,16384,0.000343,1291.43
376,256,3,4,3,0,32768,0.000334,1248.072
377,256,3,4,3,0,65536,0.000368,1162.686
378,256,3,5,1,0,1024,0.000274,1310.316
379,256,3,5,1,0,2048,0.0003,1314.838
380,256,3,5,1,0,4096,0.000296,1313.242
381,256,3,5,1,0,8192,0.000296,1313.242
382,256,3,5,1,0,16384,0.000292,1226.26
383,256,3,5,1,0,32768,0.000293,1255.786
384,256,3,5,1,0,65536,0.000297,1166.144
385,256,3,5,2,0,1024,0.000375,1356.334
386,256,3,5,2,0,2048,0.000364,1366.974
387,256,3,5,2,0,4096,0.000357,1368.57
388,256,3,5,2,0,8192,0.000325,1364.048
389,256,3,5,2,0,16384,0.000346,1385.062
390,256,3,5,2,0,32768,0.000361,1364.048
391,256,3,5,2,0,65536,0.000387,1225.462
392,256,3,5,3,0,1024,0.000438,1210.034
393,256,3,5,3,0,2048,0.000434,1150.716
394,256,3,5,3,0,4096,0.000423,1210.3
395,256,3,5,3,0,8192,0.00044,1193.808
396,256,3,5,3,0,16384,0.000446,1273.608
397,256,3,5,3,0,32768,0.000437,1202.32
398,256,3,5,3,0,65536,0.000456,1166.942
399,256,3,6,1,0,1024,0.000278,1133.16
400,256,3,6,1,0,2048,0.000284,1135.288
401,256,3,6,1,0,4096,0.000286,1136.352
402,256,3,6,1,0,8192,0.000276,1136.352
403,256,3,6,1,0,16384,0.000291,1099.91
404,256,3,6,1,0,32768,0.000297,1221.472
405,256,3,6,1,0,65536,0.00031,1137.416
406,256,3,6,2,0,1024,0.000227,1074.374
407,256,3,6,2,0,2048,0.000227,1072.778
408,256,3,6,2,0,4096,0.000225,1073.842
409,256,3,6,2,0,8192,0.00023,1080.226
410,256,3,6,2,0,16384,0.000221,1095.654
411,256,3,6,2,0,32768,0.000212,918.498
412,256,3,6,2,0,65536,0.000223,963.452
413,256,3,6,3,0,1024,0.000403,1651.062
414,256,3,6,3,0,2048,0.00039,1555.568
415,256,3,6,3,0,4096,0.000368,1562.484
416,256,3,6,3,0,8192,0.000368,1556.898
417,256,3,6,3,0,16384,0.000416,1674.736
418,256,3,6,3,0,32768,0.000422,1474.704
419,256,3,6,3,0,65536,0.000396,1531.096
420,256,3,7,1,0,1024,0.000334,1175.188
421,256,3,7,1,0,2048,0.000356,1168.538
422,256,3,7,1,0,4096,0.000353,1168.272
423,256,3,7,1,0,8192,0.000374,1165.346
424,256,3,7,1,0,16384,0.000359,1195.404
425,256,3,7,1,0,32768,0.000353,1182.104
426,256,3,7,1,0,65536,0.000361,1100.708
427,256,3,7,2,0,1024,0.000232,1254.19
428,256,3,7,2,0,2048,0.000235,1251.53
429,256,3,7,2,0,4096,0.000243,1242.486
430,256,3,7,2,0,8192,0.000234,1243.284
431,256,3,7,2,0,16384,0.00025,1237.166
432,256,3,7,2,0,32768,0.000222,1219.344
433,256,3,7,2,0,65536,0.000211,969.038
434,256,3,7,3,0,1024,0.0004,1324.946
435,256,3,7,3,0,2048,0.000399,1314.04
436,256,3,7,3,0,4096,0.0004,1327.872
437,256,3,7,3,0,8192,0.00039,1316.966
438,256,3,7,3,0,16384,0.000415,1333.724
439,256,3,7,3,0,32768,0.000395,1490.664
440,256,3,7,3,0,65536,0.000432,1612.758
441,256,4,1,1,0,1024,0.000269,890.302
442,256,4,1,1,0,2048,0.000273,897.75
443,256,4,1,1,0,4096,0.000275,878.864
444,256,4,1,1,0,8192,0.000293,984.998
445,256,4,1,1,0,16384,0.000274,869.022
446,256,4,1,1,0,32768,0.000274,864.766
447,256,4,1,1,0,65536,0.000274,864.766
448,256,4,1,2,0,1024,0.000439,1130.5
449,256,4,1,2,0,2048,0.000439,1129.702
450,256,4,1,2,0,4096,0.000439,1129.702
451,256,4,1,2,0,8192,0.000437,1126.244
452,256,4,1,2,0,16384,0.00041,1157.898
453,256,4,1,2,0,32768,0.000423,1094.856
454,256,4,1,2,0,65536,0.000438,1030.484
455,256,4,1,3,0,1024,0.000454,1218.014
456,256,4,1,3,0,2048,0.000459,1189.286
457,256,4,1,3,0,4096,0.000408,1292.76
458,256,4,1,3,0,8192,0.00041,1299.942
459,256,4,1,3,0,16384,0.000411,1366.176
460,256,4,1,3,0,32768,0.000408,1290.632
461,256,4,1,3,0,65536,0.000448,1247.274
462,256,4,2,1,0,1024,0.00025,868.49
463,256,4,2,1,0,2048,0.000253,871.416
464,256,4,2,1,0,4096,0.000256,867.16
465,256,4,2,1,0,8192,0.000251,912.646
466,256,4,2,1,0,16384,0.00025,874.874
467,256,4,2,1,0,32768,0.000253,853.86
468,256,4,2,1,0,65536,0.000243,746.662
469,256,4,2,2,0,1024,0.000372,1013.726
470,256,4,2,2,0,2048,0.000362,1009.47
471,256,4,2,2,0,4096,0.000362,1010.002
472,256,4,2,2,0,8192,0.000362,1003.086
473,256,4,2,2,0,16384,0.00037,1033.676
474,256,4,2,2,0,32768,0.000375,998.83
475,256,4,2,2,0,65536,0.000365,1000.426
476,256,4,2,3,0,1024,0.000395,1271.48
477,256,4,2,3,0,2048,0.00038,1258.978
478,256,4,2,3,0,4096,0.000384,1262.968
479,256,4,2,3,0,8192,0.000387,1289.834
480,256,4,2,3,0,16384,0.000393,1313.508
481,256,4,2,3,0,32768,0.000383,1265.894
482,256,4,2,3,0,65536,0.000419,1128.904
483,256,4,3,1,0,1024,0.000287,1279.46
484,256,4,3,1,0,2048,0.000287,1279.46
485,256,4,3,1,0,4096,0.000289,1281.056
486,256,4,3,1,0,8192,0.000305,1288.504
487,256,4,3,1,0,16384,0.000291,1195.67
488,256,4,3,1,0,32768,0.00029,1194.872
489,256,4,3,1,0,65536,0.000307,1169.336
490,256,4,3,2,0,1024,0.000391,1230.782
491,256,4,3,2,0,2048,0.000404,1234.506
492,256,4,3,2,0,4096,0.000404,1233.442
493,256,4,3,2,0,8192,0.000408,1232.112
494,256,4,3,2,0,16384,0.000409,1206.576
495,256,4,3,2,0,32768,0.000407,1183.434
496,256,4,3,2,0,65536,0.000396,1044.05
497,256,4,3,3,0,1024,0.000469,1312.444
498,256,4,3,3,0,2048,0.000479,1285.046
499,256,4,3,3,0,4096,0.000445,1171.73
500,256,4,3,3,0,8192,0.000435,1170.932
501,256,4,3,3,0,16384,0.000434,1231.58
502,256,4,3,3,0,32768,0.000422,1164.814
503,256,4,3,3,0,65536,0.000424,1091.93
504,256,4,4,1,0,1024,0.000292,1031.016
505,256,4,4,1,0,2048,0.000304,1033.41
506,256,4,4,1,0,4096,0.000296,1032.08
507,256,4,4,1,0,8192,0.000304,1033.41
508,256,4,4,1,0,16384,0.000303,1033.676
509,256,4,4,1,0,32768,0.000307,1029.42
510,256,4,4,1,0,65536,0.000314,948.29
511,256,4,4,2,0,1024,0.000344,1312.71
512,256,4,4,2,0,2048,0.000349,1284.514
513,256,4,4,2,0,4096,0.000345,1290.366
514,256,4,4,2,0,8192,0.000343,1289.568
515,256,4,4,2,0,16384,0.000343,1307.922
516,256,4,4,2,0,32768,0.000333,1282.918
517,256,4,4,2,0,65536,0.000387,1062.404
518,256,4,4,3,0,1024,0.000358,1257.382
519,256,4,4,3,0,2048,0.000331,1236.634
520,256,4,4,3,0,4096,0.000331,1240.89
521,256,4,4,3,0,8192,0.000344,1240.624
522,256,4,4,3,0,16384,0.000343,1291.43
523,256,4,4,3,0,32768,0.000334,1248.072
524,256,4,4,3,0,65536,0.000368,1162.686
525,256,4,5,1,0,1024,0.000274,1310.316
526,256,4,5,1,0,2048,0.0003,1314.838
527,256,4,5,1,0,4096,0.000296,1313.242
528,256,4,5,1,0,8192,0.000296,1313.242
529,256,4,5,1,0,16384,0.000292,1226.26
530,256,4,5,1,0,32768,0.000293,1255.786
531,256,4,5,1,0,65536,0.000297,1166.144
532,256,4,5,2,0,1024,0.000375,1356.334
533,256,4,5,2,0,2048,0.000364,1366.974
534,256,4,5,2,0,4096,0.000357,1368.57
535,256,4,5,2,0,8192,0.000325,1364.048
536,256,4,5,2,0,16384,0.000346,1385.062
537,256,4,5,2,0,32768,0.000361,1364.048
538,256,4,5,2,0,65536,0.000387,1225.462
539,256,4,5,3,0,1024,0.000438,1210.034
540,256,4,5,3,0,2048,0.000434,1150.716
541,256,4,5,3,0,4096,0.000423,1210.3
542,256,4,5,3,0,8192,0.00044,1193.808
543,256,4,5,3,0,16384,0.000446,1273.608
