n,knob_MAT_SIZE,knob_UNROLL_FACTOR1,knob_UNROLL_FACTOR2,knob_UNROLL_FACTOR3,knob_SUBDIM_X,knob_SUBDIM_Y,B,knob_DATA_BLOCK,obj1,obj2
440,1024,1,2,2,16,4,0,1048576,7.745882,28
441,1024,1,2,2,16,4,0,524288,8.021773,54
442,1024,1,2,2,16,4,0,262144,8.838967,101
443,1024,1,2,2,16,8,0,1048576,8.008984,34
444,1024,1,2,2,16,8,0,524288,11.995007,60
445,1024,1,2,2,16,8,0,262144,9.913007,93
446,1024,1,2,2,16,16,0,1048576,6.312053,31
447,1024,1,2,2,16,16,0,524288,9.086329,61
448,1024,1,2,2,16,16,0,262144,8.895453,89
449,1024,1,2,4,1,1,0,1048576,8.378097,43
450,1024,1,2,4,1,1,0,524288,6.556771,58
451,1024,1,2,4,1,1,0,262144,11.830556,116
452,1024,1,2,4,1,2,0,1048576,11.503234,35
453,1024,1,2,4,1,2,0,524288,9.340972,60
454,1024,1,2,4,1,2,0,262144,8.686653,90
455,1024,1,2,4,1,4,0,1048576,9.365598,39
456,1024,1,2,4,1,4,0,524288,9.452899,75
457,1024,1,2,4,1,4,0,262144,6.998009,96
458,1024,1,2,4,1,8,0,1048576,9.495865,37
459,1024,1,2,4,1,8,0,524288,9.331333,64
460,1024,1,2,4,1,8,0,262144,8.276983,93
461,1024,1,2,4,1,16,0,1048576,7.792363,36
462,1024,1,2,4,1,16,0,524288,9.467326,67
463,1024,1,2,4,1,16,0,262144,7.963479,121
464,1024,1,2,4,2,1,0,1048576,8.73556,40
465,1024,1,2,4,2,1,0,524288,5.644267,60
466,1024,1,2,4,2,1,0,262144,11.936449,125
467,1024,1,2,4,2,2,0,1048576,11.085437,35
468,1024,1,2,4,2,2,0,524288,10.325851,82
469,1024,1,2,4,2,2,0,262144,8.325359,97
470,1024,1,2,4,2,4,0,1048576,9.263982,43
471,1024,1,2,4,2,4,0,524288,9.920457,90
472,1024,1,2,4,2,4,0,262144,7.779929,102
473,1024,1,2,4,2,8,0,1048576,9.666736,42
474,1024,1,2,4,2,8,0,524288,9.965569,86
475,1024,1,2,4,2,8,0,262144,7.981185,113
476,1024,1,2,4,2,16,0,1048576,8.555463,37
477,1024,1,2,4,2,16,0,524288,8.769349,81
478,1024,1,2,4,2,16,0,262144,9.789424,96
479,1024,1,2,4,4,1,0,1048576,8.101033,45
480,1024,1,2,4,4,1,0,524288,6.334473,72
481,1024,1,2,4,4,1,0,262144,7.814128,104
482,1024,1,2,4,4,2,0,1048576,10.525699,39
483,1024,1,2,4,4,2,0,524288,8.348357,79
484,1024,1,2,4,4,2,0,262144,10.657317,90
485,1024,1,2,4,4,4,0,1048576,10.099112,37
486,1024,1,2,4,4,4,0,524288,10.001334,86
487,1024,1,2,4,4,4,0,262144,9.201646,120
488,1024,1,2,4,4,8,0,1048576,9.109896,45
489,1024,1,2,4,4,8,0,524288,11.363025,81
490,1024,1,2,4,4,8,0,262144,8.586069,92
491,1024,1,2,4,4,16,0,1048576,11.409062,49
492,1024,1,2,4,4,16,0,524288,10.059851,104
493,1024,1,2,4,4,16,0,262144,8.45067,108
494,1024,1,2,4,8,1,0,1048576,9.73805,31
495,1024,1,2,4,8,1,0,524288,4.221685,51
