Parameter,Throughput_Value,Tool,Parameter2,Area_Value,Flow
Throughput,4.687463379192351,catapult,Area,24872.596,catapult_asic_area
Throughput,4.967956679417756,catapult,Area,27255.689,catapult_asic_area
Throughput,4.491192770976116,catapult,Area,28189.615,catapult_asic_area
Throughput,4.20164536432467,catapult,Area,32137.854,catapult_asic_area
Throughput,4.043753411916941,catapult,Area,24499.398,catapult_asic_area
Throughput,4.490063489497742,catapult,Area,27568.240,catapult_asic_area
Throughput,4.187972979198339,catapult,Area,28674.268,catapult_asic_area
Throughput,4.480467402359414,catapult,Area,26942.607,catapult_asic_area
Throughput,4.878572334592005,catapult,Area,27983.998,catapult_asic_area
Throughput,4.580117709025122,catapult,Area,31579.254,catapult_asic_area
Throughput,4.1850635083387395,catapult,Area,28089.865,catapult_asic_area
Throughput,4.704133522125892,catapult,Area,18748.213,catapult_asic_area
Throughput,4.584317051367273,catapult,Area,19325.697,catapult_asic_area
Throughput,4.5838547468107835,catapult,Area,21147.000,catapult_asic_area
Throughput,4.509196506274547,catapult,Area,23536.479,catapult_asic_area
Throughput,4.422489242294918,catapult,Area,29347.514,catapult_asic_area
Throughput,4.703160053239771,catapult,Area,45599.848,catapult_asic_area
Throughput,4.623165758985123,catapult,Area,23315.697,catapult_asic_area
Throughput,4.687463379192351,catapult,Area,24872.596,catapult_asic_area
Throughput,4.967956679417756,catapult,Area,27255.689,catapult_asic_area
Throughput,4.491192770976116,catapult,Area,28189.615,catapult_asic_area
Throughput,4.20164536432467,catapult,Area,32137.854,catapult_asic_area
Throughput,4.043753411916941,catapult,Area,24499.398,catapult_asic_area
Throughput,4.490063489497742,catapult,Area,27568.240,catapult_asic_area
Throughput,4.187972979198339,catapult,Area,28674.268,catapult_asic_area
Throughput,4.480467402359414,catapult,Area,26942.607,catapult_asic_area
Throughput,4.878572334592005,catapult,Area,27983.998,catapult_asic_area
Throughput,4.580117709025122,catapult,Area,31579.254,catapult_asic_area
Throughput,4.1850635083387395,catapult,Area,28089.865,catapult_asic_area
Throughput,4.75413966711514,catapult,Area,20539.189,catapult_asic_area
Throughput,4.719273986889857,catapult,Area,21033.949,catapult_asic_area
Throughput,4.858850395996307,catapult,Area,20494.236,catapult_asic_area
Throughput,4.65573190433402,catapult,Area,21646.549,catapult_asic_area
Throughput,4.585788641001536,catapult,Area,22732.627,catapult_asic_area
Throughput,4.6487195102109125,catapult,Area,24241.111,catapult_asic_area
Throughput,4.887036159180542,catapult,Area,28245.742,catapult_asic_area
Throughput,4.820624560118009,catapult,Area,26023.578,catapult_asic_area
Throughput,4.803904613669991,catapult,Area,25758.377,catapult_asic_area
Throughput,4.716313729189266,catapult,Area,26450.242,catapult_asic_area
Throughput,4.782423636650582,catapult,Area,29202.545,catapult_asic_area
Throughput,4.934299798187138,catapult,Area,31135.033,catapult_asic_area
Throughput,4.742933029785619,catapult,Area,33708.316,catapult_asic_area
Throughput,4.697261496547513,catapult,Area,27687.143,catapult_asic_area
Throughput,4.666987133116474,catapult,Area,28500.836,catapult_asic_area
Throughput,4.7771917755866395,catapult,Area,28592.340,catapult_asic_area
Throughput,4.659007258733309,catapult,Area,31846.584,catapult_asic_area
Throughput,4.737136306360079,catapult,Area,31878.504,catapult_asic_area
Throughput,4.689177846448183,catapult,Area,35300.859,catapult_asic_area
Throughput,4.981047115724667,catapult,Area,33624.527,catapult_asic_area
Throughput,4.819555829734732,catapult,Area,31668.363,catapult_asic_area
Throughput,4.8097271922736535,catapult,Area,33316.500,catapult_asic_area
Throughput,4.789180283902607,catapult,Area,36241.172,catapult_asic_area
Throughput,4.9522602115605565,catapult,Area,38053.695,catapult_asic_area
Throughput,4.843107531516522,catapult,Area,30727.521,catapult_asic_area
Throughput,4.641275793890224,catapult,Area,30881.803,catapult_asic_area
Throughput,4.772267399686939,catapult,Area,32451.201,catapult_asic_area
Throughput,4.982163853404811,catapult,Area,35654.906,catapult_asic_area
Throughput,4.952358313028665,catapult,Area,19806.893,catapult_asic_area
Throughput,4.817883985353633,catapult,Area,19781.889,catapult_asic_area
Throughput,4.6684469010849465,catapult,Area,20301.652,catapult_asic_area
Throughput,4.804481620455562,catapult,Area,21785.932,catapult_asic_area
Throughput,4.877810838495683,catapult,Area,23496.047,catapult_asic_area
Throughput,4.934031992263438,catapult,Area,27207.012,catapult_asic_area
Throughput,4.937125704157554,catapult,Area,26309.527,catapult_asic_area
Throughput,4.841864698932853,catapult,Area,26134.500,catapult_asic_area
Throughput,4.9366138778089335,catapult,Area,26684.057,catapult_asic_area
Throughput,4.828538594508986,catapult,Area,28911.539,catapult_asic_area
Throughput,4.9995750361219295,catapult,Area,30122.105,catapult_asic_area
Throughput,4.903451048848179,catapult,Area,27279.896,catapult_asic_area
