n,knob_KNOB_WINDOW_SIZE_X,knob_inner_unroll1,knob_inner_unroll2,knob_outer_unroll,knob_partition_factor,knob_I_B,obj1,obj2,FF
774,1,5,3,1,28800,0,0.130553,47688.215,2129
777,1,5,3,2,460800,0,0.130723,47348.797,2239
778,1,5,3,2,230400,0,0.125958,50428.016,2265
779,1,5,3,2,115200,0,0.128209,52548.035,2346
780,1,5,3,2,57600,0,0.129623,56111.637,2544
784,1,5,3,3,460800,0,0.125369,51535.371,2373
785,1,5,3,3,230400,0,0.130527,53102.91,2415
786,1,5,3,3,115200,0,0.127607,56986.242,2511
805,1,5,4,1,460800,0,0.13821,34666.449,1488
806,1,5,4,1,230400,0,0.135776,37365.02,1533
807,1,5,4,1,115200,0,0.131642,39881.379,1664
808,1,5,4,1,57600,0,0.136523,45368.43,1863
812,1,5,4,2,460800,0,0.134241,44560.32,1775
813,1,5,4,2,230400,0,0.133273,45276.926,1824
814,1,5,4,2,115200,0,0.137007,47746.734,1916
815,1,5,4,2,57600,0,0.138113,53415.195,2115
819,1,5,4,3,460800,0,0.138279,43062.207,1981
820,1,5,4,3,230400,0,0.138224,47324.594,2060
821,1,5,4,3,115200,0,0.136786,51136.637,2200
826,1,5,4,4,460800,0,0.134905,50797.754,2129
827,1,5,4,4,230400,0,0.137601,51255.008,2125
842,1,5,5,1,115200,0,0.121619,41433.488,1649
843,1,5,5,1,57600,0,0.121657,45278.52,1890
844,1,5,5,1,28800,0,0.125991,48975.121,2097
847,1,5,5,2,460800,0,0.125663,49324.379,1909
848,1,5,5,2,230400,0,0.125336,49252.559,2332
854,1,5,5,3,460800,0,0.124655,50461.266,2261
875,2,1,1,1,460800,0,0.150326,23441.25,458
876,2,1,1,1,230400,0,0.147028,25452.742,461
877,2,1,1,1,115200,0,0.147706,22039.963,474
878,2,1,1,1,57600,0,0.146652,22110.186,521
879,2,1,1,1,28800,0,0.150235,25908.4,597
880,2,1,1,1,14400,0,0.149272,32598.033,792
881,2,1,1,1,7200,0,0.145432,39737.473,855
