n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_y,knob_I_B,obj1,obj2,FF
681,103680,2,8,0,0.374889,6813.058,319
682,103680,2,16,0,0.353632,6443.052,320
683,103680,2,32,0,0.348806,6470.982,321
684,103680,3,1,0,0.539383,9234.722,511
685,103680,3,2,0,0.394001,9357.88,414
686,103680,3,4,0,0.351073,5673.248,286
687,103680,3,8,0,0.354515,5844.02,291
688,103680,3,16,0,0.344635,5895.092,291
689,103680,3,32,0,0.335924,5788.16,292
690,103680,4,1,0,0.582056,12174.82,559
691,103680,4,2,0,0.533002,11240.362,456
692,103680,4,4,0,0.488706,7304.892,323
693,103680,4,8,0,0.483787,7590.842,327
694,103680,4,16,0,0.459136,6869.982,327
695,103680,4,32,0,0.474345,7705.222,328
696,103680,5,1,0,0.489357,9810.346,511
697,103680,5,2,0,0.407251,10113.586,415
698,103680,5,4,0,0.367473,6470.184,290
699,103680,5,8,0,0.353968,6868.386,294
700,103680,5,16,0,0.344635,6818.644,295
701,103680,5,32,0,0.342651,6702.402,296
702,103680,6,1,0,0.610366,10978.352,485
703,103680,6,2,0,0.4963,10902.276,417
704,103680,6,4,0,0.38281,7446.67,317
705,103680,6,8,0,0.366552,7951.804,327
706,103680,6,16,0,0.354672,7701.232,323
707,103680,6,32,0,0.351997,7741.132,324
708,103680,7,1,0,0.470242,10256.162,521
709,103680,7,2,0,0.408868,10923.024,419
710,103680,7,4,0,0.367883,7444.808,289
711,103680,7,8,0,0.356752,7674.898,293
712,103680,7,16,0,0.32289,7918.82,293
713,103680,7,32,0,0.351774,7644.84,295
714,103680,8,1,0,0.55408,17871.742,590
715,103680,8,2,0,0.529902,16624.201,447
716,103680,8,4,0,0.487773,10373.202,323
717,103680,8,8,0,0.302861,10605.952,330
718,103680,8,16,0,0.458644,10633.616,331
719,103680,8,32,0,0.446137,10884.454,323
720,82944,1,1,0,0.330937,7096.88,431
721,82944,1,2,0,0.336465,6910.148,369
722,82944,1,4,0,0.440139,5510.722,316
723,82944,1,8,0,0.42106,5516.308,320
724,82944,1,16,0,0.351228,5490.506,316
725,82944,1,32,0,0.354606,5474.28,317
726,82944,2,1,0,0.361619,9465.876,482
727,82944,2,2,0,0.346625,8445.5,383
728,82944,2,4,0,0.383334,5924.086,308
729,82944,2,8,0,0.354732,5993.512,312
730,82944,2,16,0,0.27658,6019.846,313
731,82944,2,32,0,0.274348,6006.014,314
732,82944,3,1,0,0.331402,7478.324,453
733,82944,3,2,0,0.342766,8030.806,369
734,82944,3,4,0,0.293126,6333.46,310
735,82944,3,8,0,0.279095,6260.31,314
736,82944,3,16,0,0.345541,6104.7,315
737,82944,3,32,0,0.341758,6212.43,316
738,82944,4,1,0,0.406658,12313.938,466
739,82944,4,2,0,0.447556,11519.662,400
740,82944,4,4,0,0.317349,9171.68,327
741,82944,4,8,0,0.306547,8690.22,330
742,82944,4,16,0,0.268994,8889.454,331
743,82944,4,32,0,0.279268,9349.9,332
744,82944,5,1,0,0.361082,8357.188,454
745,82944,5,2,0,0.349617,9232.86,370
746,82944,5,4,0,0.299686,8064.588,311
747,82944,5,8,0,0.298893,7766.136,315
