n,knob_dimx_part_factor,knob_unroll_factor,knob_subdim_y,knob_I_B,Latency,Area
0202,129600,2,16,0,0.176949,6211.100
0203,129600,2,32,0,0.170192,6184.234
0204,129600,3,1,0,0.252108,8551.900
0205,129600,3,2,0,0.255954,7504.658
0206,129600,3,4,0,0.240868,6857.214
0207,129600,3,8,0,0.184077,6385.862
0208,129600,3,16,0,0.164786,6405.014
0209,129600,3,32,0,0.163323,6440.658
0210,129600,4,1,0,0.317282,11163.754
0211,129600,4,2,0,0.287706,10215.996
0212,129600,4,4,0,0.340905,9360.540
0213,129600,4,8,0,0.232101,8351.336
0214,129600,4,16,0,0.252711,8782.256
0215,129600,4,32,0,0.216936,8555.890
0216,129600,5,1,0,0.262797,9367.722
0217,129600,5,2,0,0.298309,8383.522
0218,129600,5,4,0,0.253893,7796.194
0219,129600,5,8,0,0.167647,7142.898
0220,129600,5,16,0,0.167831,7183.862
0221,129600,5,32,0,0.166306,7368.466
0222,129600,6,1,0,0.273931,9765.658
0223,129600,6,2,0,0.263078,9163.700
0224,129600,6,4,0,0.263806,7973.084
0225,129600,6,8,0,0.165592,7769.328
0226,129600,6,16,0,0.189733,7756.560
0227,129600,6,32,0,0.189384,7737.674
0228,129600,7,1,0,0.261814,9759.806
0229,129600,7,2,0,0.289666,8506.148
0230,129600,7,4,0,0.248960,7862.694
0231,129600,7,8,0,0.168020,7280.686
0232,129600,7,16,0,0.166104,7416.080
0233,129600,7,32,0,0.164205,7300.370
0234,129600,8,1,0,0.317181,13085.870
0235,129600,8,2,0,0.215778,12398.260
0236,129600,8,4,0,0.348562,10785.502
0237,129600,8,8,0,0.196935,10006.388
0238,129600,8,16,0,0.219421,10243.660
0239,129600,8,32,0,0.220222,10468.962
0240,64800,1,1,0,0.273426,7792.736
0241,64800,1,2,0,0.278330,8573.446
0242,64800,1,4,0,0.214575,6124.118
0243,64800,1,8,0,0.180967,6219.080
0244,64800,1,16,0,0.192320,6637.498
0245,64800,1,32,0,0.188324,6803.482
0246,64800,2,1,0,0.270746,11528.440
0247,64800,2,2,0,0.332965,9910.628
0250,64800,2,16,0,0.178676,7590.044
0251,64800,2,32,0,0.173474,7488.432
0252,64800,3,1,0,0.247932,11173.596
0253,64800,3,2,0,0.275328,9679.474
0256,64800,3,16,0,0.160945,8221.262
0257,64800,3,32,0,0.155630,8192.534
0258,64800,4,1,0,0.318226,12493.754
0259,64800,4,2,0,0.282762,12075.868
0262,64800,4,16,0,0.230357,9650.746
0263,64800,4,32,0,0.219749,10264.674
0264,64800,5,1,0,0.267122,12266.324
0265,64800,5,2,0,0.290248,11632.712
0268,64800,5,16,0,0.161533,9326.492
0269,64800,5,32,0,0.167085,9106.244
0270,64800,6,1,0,0.262099,13203.974
0271,64800,6,2,0,0.332466,13023.892
0274,64800,6,16,0,0.161116,9915.416
0275,64800,6,32,0,0.161085,10630.158
0276,64800,7,1,0,0.272979,14054.110
0277,64800,7,2,0,0.288243,11407.676
0280,64800,7,16,0,0.161234,9626.008
0281,64800,7,32,0,0.168196,9712.458
0282,64800,8,1,0,0.325334,19274.627
0283,64800,8,2,0,0.286769,17547.754
0286,64800,8,16,0,0.217379,14119.812
0287,64800,8,32,0,0.221408,14724.164
0288,32400,1,1,0,0.332428,14361.606
0289,32400,1,2,0,0.271840,13072.836
0290,32400,1,4,0,0.256528,10101.882
0291,32400,1,8,0,0.228654,9758.210
0292,32400,1,16,0,0.290172,9196.684
0293,32400,1,32,0,0.278580,10109.596
0294,32400,2,1,0,0.353320,16465.666
0295,32400,2,2,0,0.226363,15649.312
0296,32400,2,4,0,0.311637,11925.312
0297,32400,2,8,0,0.256633,11459.280
0298,32400,2,16,0,0.307477,11437.468
0299,32400,2,32,0,0.273268,12085.710
0300,32400,3,1,0,0.364117,15054.802
0301,32400,3,2,0,0.231771,15231.958
0302,32400,3,4,0,0.254865,12458.642
0303,32400,3,8,0,0.191751,12458.908
0304,32400,3,16,0,0.310850,13784.120
0305,32400,3,32,0,0.300075,12531.792
0311,32400,4,32,0,0.216834,16878.498
0336,16200,1,1,0,0.318732,22645.910
0337,16200,1,2,0,0.263349,22258.348
0338,16200,1,4,0,0.251793,14932.442
0339,16200,1,8,0,0.248649,15273.720
0340,16200,1,16,0,0.234217,15284.360
0341,16200,1,32,0,0.269953,15300.054
0528,414720,1,1,0,0.254916,4183.116
0529,414720,1,2,0,0.254591,5053.202
0530,414720,1,4,0,0.198897,4144.812
0531,414720,1,8,0,0.171796,4023.516
0532,414720,1,16,0,0.168867,4076.716
0533,414720,1,32,0,0.163257,4064.746
0534,414720,2,1,0,0.271739,4629.464
0535,414720,2,2,0,0.311849,5651.968
0540,414720,3,1,0,0.255340,4501.252
0541,414720,3,2,0,0.253416,5311.488
0546,414720,4,1,0,0.346614,5429.326
0547,414720,4,2,0,0.243837,6840.456
0552,414720,5,1,0,0.265581,4870.194
0553,414720,5,2,0,0.264372,5803.056
0558,414720,6,1,0,0.281388,5185.670
0559,414720,6,2,0,0.304052,6470.982
0564,414720,7,1,0,0.269258,4984.840
0565,414720,7,2,0,0.273929,5829.922
0570,414720,8,1,0,0.320014,8452.948
0571,414720,8,2,0,0.307033,9171.680
0576,207360,1,1,0,0.252485,5068.630
0577,207360,1,2,0,0.242366,5882.590
0578,207360,1,4,0,0.195792,4511.892
0579,207360,1,8,0,0.154606,4417.728
0580,207360,1,16,0,0.148247,4432.624
0581,207360,1,32,0,0.153955,4498.326
0582,207360,2,1,0,0.263005,5729.374
0583,207360,2,2,0,0.310560,6675.536
0588,207360,3,1,0,0.253699,5264.672
0589,207360,3,2,0,0.245577,6141.940
0594,207360,4,1,0,0.335179,7050.596
0595,207360,4,2,0,0.240052,8449.490
0600,207360,5,1,0,0.264338,5753.846
0601,207360,5,2,0,0.254930,6926.108
0606,207360,6,1,0,0.293718,6314.308
0607,207360,6,2,0,0.307838,7872.802
0612,207360,7,1,0,0.273773,6037.668
0613,207360,7,2,0,0.244900,7015.218
