n,knob_NUM_HIST,knob_HIST_SIZE,knob_NUM_WORK_ITEMS,knob_NUM_WORK_GROUPS,knob_SIMD,knob_COMPUTE_UNITS,knob_ACCUM_SMEM,knob_UNROLL_FACTOR,knob_PIPE_FACTOR,obj1,obj2
1083,2,256,4,1,1,1,0,2,0,0.0008,112
1084,2,256,4,1,1,1,0,2,1,0.0005,132
1085,2,256,4,1,1,1,0,2,2,0.0005,132
1086,2,256,4,1,1,1,0,3,0,0.0007,166
1087,2,256,4,1,1,1,0,3,1,0.0005,163
1088,2,256,4,1,1,1,0,3,2,0.0005,163
1089,2,256,4,1,1,1,0,4,0,0.0007,175
1090,2,256,4,1,1,1,0,4,1,0.0005,164
1091,2,256,4,1,1,1,0,4,2,0.0005,164
1092,2,256,4,1,1,1,0,5,0,0.0007,212
1093,2,256,4,1,1,1,0,5,1,0.0005,217
1094,2,256,4,1,1,1,0,5,2,0.0005,217
1103,2,256,4,1,1,1,0,8,2,0.0005,253
1104,2,256,4,1,1,1,0,9,0,0.0008,333
1105,2,256,4,1,1,1,0,9,1,0.0005,351
1106,2,256,4,1,1,1,0,9,2,0.0005,351
1107,2,256,4,1,1,1,0,10,0,0.0007,365
1108,2,256,4,1,1,1,0,10,1,0.0005,379
1109,2,256,4,1,1,1,0,10,2,0.0005,379
1113,2,256,4,1,1,1,0,12,0,0.0007,404
1114,2,256,4,1,1,1,0,12,1,0.0005,475
1116,2,256,4,1,1,1,0,13,0,0.0008,463
1117,2,256,4,1,1,1,0,13,1,0.0006,510
1118,2,256,4,1,1,1,0,13,2,0.0006,510
1119,2,256,4,1,1,1,0,14,0,0.0007,454
1120,2,256,4,1,1,1,0,14,1,0.0005,536
1122,2,256,4,1,1,1,0,15,0,0.0007,489
1290,2,256,8,1,1,1,0,11,0,0.0007,382
1293,2,256,8,1,1,1,0,12,0,0.0007,404
1296,2,256,8,1,1,1,0,13,0,0.0008,473
1297,2,256,8,1,1,1,0,13,1,0.0005,489
1298,2,256,8,1,1,1,0,13,2,0.0005,489
1299,2,256,8,1,1,1,0,14,0,0.0007,481
1300,2,256,8,1,1,1,0,14,1,0.0005,530
