n,knob_tmpdim,knob_indim,knob_UNROLL_FACTOR,knob_UNROLL_LOOP1,knob_UNROLL_LOOP2,knob_UNROLL_LOOP3,knob_UNROLL_LOOP4,tmpsize,size,knob_I_B,obj1,obj2
8126,20,200,4,4,4,3,4,400,40000,0,0.711263,163
8127,20,200,4,4,4,4,1,400,40000,0,0.608414,196
8128,20,200,4,4,4,4,2,400,40000,0,0.706743,177
8129,20,200,4,4,4,4,3,400,40000,0,0.570715,181
8130,20,400,1,1,1,1,1,400,160000,0,1.350816,77
8131,20,400,1,1,1,1,2,400,160000,0,1.486228,86
8132,20,400,1,1,1,1,3,400,160000,0,1.360785,80
8133,20,400,1,1,1,1,4,400,160000,0,1.853793,86
8134,20,400,1,1,1,2,1,400,160000,0,1.547232,102
8135,20,400,1,1,1,2,2,400,160000,0,1.700154,89
8136,20,400,1,1,1,2,3,400,160000,0,1.227777,88
8137,20,400,1,1,1,2,4,400,160000,0,1.894606,85
8138,20,400,1,1,1,3,1,400,160000,0,1.321174,93
8139,20,400,1,1,1,3,2,400,160000,0,1.481855,86
8140,20,400,1,1,1,3,3,400,160000,0,1.260219,104
8141,20,400,1,1,1,3,4,400,160000,0,1.740169,91
8142,20,400,1,1,1,4,1,400,160000,0,1.557148,92
8143,20,400,1,1,1,4,2,400,160000,0,1.486913,100
8144,20,400,1,1,1,4,3,400,160000,0,1.54426,94
8145,20,400,1,1,1,4,4,400,160000,0,1.811107,93
8146,20,400,1,1,2,1,1,400,160000,0,1.360861,88
8147,20,400,1,1,2,1,2,400,160000,0,1.572624,92
8148,20,400,1,1,2,1,3,400,160000,0,1.406358,95
8149,20,400,1,1,2,1,4,400,160000,0,1.8764,92
8150,20,400,1,1,2,2,1,400,160000,0,1.52284,90
8151,20,400,1,1,2,2,2,400,160000,0,1.437209,84
8152,20,400,1,1,2,2,3,400,160000,0,1.297445,91
8153,20,400,1,1,2,2,4,400,160000,0,1.921771,95
8154,20,400,1,1,2,3,1,400,160000,0,1.41776,102
8155,20,400,1,1,2,3,2,400,160000,0,1.391406,92
8156,20,400,1,1,2,3,3,400,160000,0,1.364782,98
8157,20,400,1,1,2,3,4,400,160000,0,1.755002,100
8158,20,400,1,1,2,4,1,400,160000,0,1.327696,101
8159,20,400,1,1,2,4,2,400,160000,0,1.899846,103
8160,20,400,1,1,2,4,3,400,160000,0,1.643417,105
8161,20,400,1,1,2,4,4,400,160000,0,2.005649,112
8162,20,400,1,1,3,1,1,400,160000,0,1.320578,100
8163,20,400,1,1,3,1,2,400,160000,0,1.665208,101
8164,20,400,1,1,3,1,3,400,160000,0,1.315602,96
8165,20,400,1,1,3,1,4,400,160000,0,1.556875,96
8166,20,400,1,1,3,2,1,400,160000,0,1.463887,97
8167,20,400,1,1,3,2,2,400,160000,0,1.627968,112
8168,20,400,1,1,3,2,3,400,160000,0,1.76836,104
8169,20,400,1,1,3,2,4,400,160000,0,1.75517,102
8170,20,400,1,1,3,3,1,400,160000,0,1.481954,112
8171,20,400,1,1,3,3,2,400,160000,0,1.565431,99
8172,20,400,1,1,3,3,3,400,160000,0,1.768561,99
8173,20,400,1,1,3,3,4,400,160000,0,1.76121,105
8174,20,400,1,1,3,4,1,400,160000,0,1.620304,106
8175,20,400,1,1,3,4,2,400,160000,0,1.700372,117
8176,20,400,1,1,3,4,3,400,160000,0,1.704417,111
8177,20,400,1,1,3,4,4,400,160000,0,1.728163,111
8178,20,400,1,1,4,1,1,400,160000,0,1.295497,86
8179,20,400,1,1,4,1,2,400,160000,0,1.444389,92
8180,20,400,1,1,4,1,3,400,160000,0,1.34311,99
8181,20,400,1,1,4,1,4,400,160000,0,1.758631,107
8182,20,400,1,1,4,2,1,400,160000,0,1.233103,87
8183,20,400,1,1,4,2,2,400,160000,0,1.574583,93
8184,20,400,1,1,4,2,3,400,160000,0,1.337952,98
8185,20,400,1,1,4,2,4,400,160000,0,2.056061,102
8186,20,400,1,1,4,3,1,400,160000,0,1.291802,92
8187,20,400,1,1,4,3,2,400,160000,0,1.440576,102
8188,20,400,1,1,4,3,3,400,160000,0,1.287031,103
8189,20,400,1,1,4,3,4,400,160000,0,2.295127,114
8190,20,400,1,1,4,4,1,400,160000,0,1.495896,96
8191,20,400,1,1,4,4,2,400,160000,0,1.764577,112
8192,20,400,1,1,4,4,3,400,160000,0,1.405856,110
8193,20,400,1,1,4,4,4,400,160000,0,2.16848,96
8194,20,400,1,2,1,1,1,400,160000,0,1.376522,89
8195,20,400,1,2,1,1,2,400,160000,0,1.505782,87
8196,20,400,1,2,1,1,3,400,160000,0,1.361979,93
8197,20,400,1,2,1,1,4,400,160000,0,1.848243,105
8198,20,400,1,2,1,2,1,400,160000,0,1.65287,102
8199,20,400,1,2,1,2,2,400,160000,0,1.595824,97
8200,20,400,1,2,1,2,3,400,160000,0,1.245548,105
8201,20,400,1,2,1,2,4,400,160000,0,1.995832,106
8202,20,400,1,2,1,3,1,400,160000,0,1.630143,96
8203,20,400,1,2,1,3,2,400,160000,0,1.513053,101
8204,20,400,1,2,1,3,3,400,160000,0,1.519946,106
8205,20,400,1,2,1,3,4,400,160000,0,1.985797,106
8206,20,400,1,2,1,4,1,400,160000,0,1.440238,116
8207,20,400,1,2,1,4,2,400,160000,0,1.806967,98
8208,20,400,1,2,1,4,3,400,160000,0,1.882521,105
8209,20,400,1,2,1,4,4,400,160000,0,2.061063,116
8210,20,400,1,2,2,1,1,400,160000,0,1.408008,98
8211,20,400,1,2,2,1,2,400,160000,0,1.467613,97
