Parameter,Throughput_Value,Tool,Resource_Type,Resource_Value,Paramter3,FF_Value,Flow
Throughput,3.57393032265443,catapult,BRAM,0,FF,252,catapult_fpga_latency
Throughput,3.36834163068155,catapult,CLB,257,FF,251,catapult_fpga_latency
Throughput,3.36834163068155,catapult,LUT,1643,FF,251,catapult_fpga_latency
Throughput,3.36834163068155,catapult,FF,251,FF,251,catapult_fpga_latency
Throughput,3.36834163068155,catapult,DSP,1,FF,251,catapult_fpga_latency
Throughput,3.36834163068155,catapult,BRAM,0,FF,251,catapult_fpga_latency
Throughput,2.0813603771425,catapult,CLB,164,FF,262,catapult_fpga_latency
Throughput,2.0813603771425,catapult,LUT,1002,FF,262,catapult_fpga_latency
Throughput,2.0813603771425,catapult,FF,262,FF,262,catapult_fpga_latency
Throughput,2.0813603771425,catapult,DSP,1,FF,262,catapult_fpga_latency
Throughput,2.0813603771425,catapult,BRAM,0,FF,262,catapult_fpga_latency
Throughput,2.41076551448147,catapult,CLB,148,FF,250,catapult_fpga_latency
Throughput,2.41076551448147,catapult,LUT,893,FF,250,catapult_fpga_latency
Throughput,2.41076551448147,catapult,FF,250,FF,250,catapult_fpga_latency
Throughput,2.41076551448147,catapult,DSP,1,FF,250,catapult_fpga_latency
Throughput,2.41076551448147,catapult,BRAM,0,FF,250,catapult_fpga_latency
Throughput,3.07154550955404,catapult,CLB,137,FF,221,catapult_fpga_latency
Throughput,3.07154550955404,catapult,LUT,878,FF,221,catapult_fpga_latency
Throughput,3.07154550955404,catapult,FF,221,FF,221,catapult_fpga_latency
Throughput,3.07154550955404,catapult,DSP,1,FF,221,catapult_fpga_latency
Throughput,3.07154550955404,catapult,BRAM,0,FF,221,catapult_fpga_latency
Throughput,3.0782964707331,catapult,CLB,140,FF,222,catapult_fpga_latency
Throughput,3.0782964707331,catapult,LUT,886,FF,222,catapult_fpga_latency
Throughput,3.0782964707331,catapult,FF,222,FF,222,catapult_fpga_latency
Throughput,3.0782964707331,catapult,DSP,1,FF,222,catapult_fpga_latency
Throughput,3.0782964707331,catapult,BRAM,0,FF,222,catapult_fpga_latency
Throughput,4.15854018605309,catapult,CLB,144,FF,223,catapult_fpga_latency
Throughput,4.15854018605309,catapult,LUT,887,FF,223,catapult_fpga_latency
Throughput,4.15854018605309,catapult,FF,223,FF,223,catapult_fpga_latency
Throughput,4.15854018605309,catapult,DSP,1,FF,223,catapult_fpga_latency
Throughput,4.15854018605309,catapult,BRAM,0,FF,223,catapult_fpga_latency
Throughput,3.39738537221754,catapult,CLB,145,FF,224,catapult_fpga_latency
Throughput,3.39738537221754,catapult,LUT,867,FF,224,catapult_fpga_latency
Throughput,3.39738537221754,catapult,FF,224,FF,224,catapult_fpga_latency
Throughput,3.39738537221754,catapult,DSP,1,FF,224,catapult_fpga_latency
Throughput,3.39738537221754,catapult,BRAM,0,FF,224,catapult_fpga_latency
Throughput,2.15480089639717,catapult,CLB,186,FF,277,catapult_fpga_latency
Throughput,2.15480089639717,catapult,LUT,1216,FF,277,catapult_fpga_latency
Throughput,2.15480089639717,catapult,FF,277,FF,277,catapult_fpga_latency
Throughput,2.15480089639717,catapult,DSP,1,FF,277,catapult_fpga_latency
Throughput,2.15480089639717,catapult,BRAM,0,FF,277,catapult_fpga_latency
Throughput,2.52581381721191,catapult,CLB,174,FF,284,catapult_fpga_latency
Throughput,2.52581381721191,catapult,LUT,1066,FF,284,catapult_fpga_latency
Throughput,2.52581381721191,catapult,FF,284,FF,284,catapult_fpga_latency
Throughput,2.52581381721191,catapult,DSP,1,FF,284,catapult_fpga_latency
Throughput,2.52581381721191,catapult,BRAM,0,FF,284,catapult_fpga_latency
Throughput,3.03107457655888,catapult,CLB,152,FF,246,catapult_fpga_latency
Throughput,3.03107457655888,catapult,LUT,985,FF,246,catapult_fpga_latency
Throughput,3.03107457655888,catapult,FF,246,FF,246,catapult_fpga_latency
Throughput,3.03107457655888,catapult,DSP,1,FF,246,catapult_fpga_latency
Throughput,3.03107457655888,catapult,BRAM,0,FF,246,catapult_fpga_latency
Throughput,3.15478312443411,catapult,CLB,160,FF,247,catapult_fpga_latency
Throughput,3.15478312443411,catapult,LUT,1000,FF,247,catapult_fpga_latency
Throughput,3.15478312443411,catapult,FF,247,FF,247,catapult_fpga_latency
Throughput,3.15478312443411,catapult,DSP,1,FF,247,catapult_fpga_latency
Throughput,3.15478312443411,catapult,BRAM,0,FF,247,catapult_fpga_latency
Throughput,3.36257654064851,catapult,CLB,160,FF,248,catapult_fpga_latency
Throughput,3.36257654064851,catapult,LUT,1002,FF,248,catapult_fpga_latency
Throughput,3.36257654064851,catapult,FF,248,FF,248,catapult_fpga_latency
Throughput,3.36257654064851,catapult,DSP,1,FF,248,catapult_fpga_latency
Throughput,3.36257654064851,catapult,BRAM,0,FF,248,catapult_fpga_latency
Throughput,3.4732352491699,catapult,CLB,166,FF,249,catapult_fpga_latency
Throughput,3.4732352491699,catapult,LUT,992,FF,249,catapult_fpga_latency
Throughput,3.4732352491699,catapult,FF,249,FF,249,catapult_fpga_latency
Throughput,3.4732352491699,catapult,DSP,1,FF,249,catapult_fpga_latency
Throughput,3.4732352491699,catapult,BRAM,0,FF,249,catapult_fpga_latency
Throughput,2.10335464031584,catapult,CLB,166,FF,288,catapult_fpga_latency
Throughput,2.10335464031584,catapult,LUT,1081,FF,288,catapult_fpga_latency
Throughput,2.10335464031584,catapult,FF,288,FF,288,catapult_fpga_latency
Throughput,2.10335464031584,catapult,DSP,1,FF,288,catapult_fpga_latency
Throughput,2.10335464031584,catapult,BRAM,0,FF,288,catapult_fpga_latency
Throughput,2.52368478167603,catapult,CLB,161,FF,301,catapult_fpga_latency
Throughput,2.52368478167603,catapult,LUT,1031,FF,301,catapult_fpga_latency
Throughput,2.52368478167603,catapult,FF,301,FF,301,catapult_fpga_latency
Throughput,2.52368478167603,catapult,DSP,1,FF,301,catapult_fpga_latency
Throughput,2.52368478167603,catapult,BRAM,0,FF,301,catapult_fpga_latency
Throughput,2.80015568865629,catapult,CLB,149,FF,271,catapult_fpga_latency
Throughput,2.80015568865629,catapult,LUT,946,FF,271,catapult_fpga_latency
Throughput,2.80015568865629,catapult,FF,271,FF,271,catapult_fpga_latency
Throughput,2.80015568865629,catapult,DSP,1,FF,271,catapult_fpga_latency
Throughput,2.80015568865629,catapult,BRAM,0,FF,271,catapult_fpga_latency
Throughput,3.06478652229479,catapult,CLB,148,FF,268,catapult_fpga_latency
Throughput,3.06478652229479,catapult,LUT,959,FF,268,catapult_fpga_latency
Throughput,3.06478652229479,catapult,FF,268,FF,268,catapult_fpga_latency
Throughput,3.06478652229479,catapult,DSP,1,FF,268,catapult_fpga_latency
Throughput,3.06478652229479,catapult,BRAM,0,FF,268,catapult_fpga_latency
Throughput,3.90304828070723,catapult,CLB,157,FF,268,catapult_fpga_latency
Throughput,3.90304828070723,catapult,LUT,953,FF,268,catapult_fpga_latency
Throughput,3.90304828070723,catapult,FF,268,FF,268,catapult_fpga_latency
Throughput,3.90304828070723,catapult,DSP,1,FF,268,catapult_fpga_latency
Throughput,3.90304828070723,catapult,BRAM,0,FF,268,catapult_fpga_latency
Throughput,3.32124400515457,catapult,CLB,162,FF,268,catapult_fpga_latency
Throughput,3.32124400515457,catapult,LUT,946,FF,268,catapult_fpga_latency
Throughput,3.32124400515457,catapult,FF,268,FF,268,catapult_fpga_latency
Throughput,3.32124400515457,catapult,DSP,1,FF,268,catapult_fpga_latency
Throughput,3.32124400515457,catapult,BRAM,0,FF,268,catapult_fpga_latency
Throughput,2.03506829689204,catapult,CLB,231,FF,304,catapult_fpga_latency
Throughput,2.03506829689204,catapult,LUT,1518,FF,304,catapult_fpga_latency
Throughput,2.03506829689204,catapult,FF,304,FF,304,catapult_fpga_latency
Throughput,2.03506829689204,catapult,DSP,1,FF,304,catapult_fpga_latency
Throughput,2.03506829689204,catapult,BRAM,0,FF,304,catapult_fpga_latency
Throughput,2.37854551941488,catapult,CLB,249,FF,321,catapult_fpga_latency
Throughput,2.37854551941488,catapult,LUT,1580,FF,321,catapult_fpga_latency
Throughput,2.37854551941488,catapult,FF,321,FF,321,catapult_fpga_latency
Throughput,2.37854551941488,catapult,DSP,1,FF,321,catapult_fpga_latency
Throughput,2.37854551941488,catapult,BRAM,0,FF,321,catapult_fpga_latency
Throughput,2.93035999472535,catapult,CLB,236,FF,287,catapult_fpga_latency
Throughput,2.93035999472535,catapult,LUT,1484,FF,287,catapult_fpga_latency
Throughput,2.93035999472535,catapult,FF,287,FF,287,catapult_fpga_latency
Throughput,2.93035999472535,catapult,DSP,1,FF,287,catapult_fpga_latency
Throughput,2.93035999472535,catapult,BRAM,0,FF,287,catapult_fpga_latency
Throughput,2.98090136495473,catapult,CLB,229,FF,284,catapult_fpga_latency
Throughput,2.98090136495473,catapult,LUT,1445,FF,284,catapult_fpga_latency
Throughput,2.98090136495473,catapult,FF,284,FF,284,catapult_fpga_latency
Throughput,2.98090136495473,catapult,DSP,1,FF,284,catapult_fpga_latency
Throughput,2.98090136495473,catapult,BRAM,0,FF,284,catapult_fpga_latency
Throughput,3.52421665474307,catapult,CLB,223,FF,284,catapult_fpga_latency
Throughput,3.52421665474307,catapult,LUT,1433,FF,284,catapult_fpga_latency
Throughput,3.52421665474307,catapult,FF,284,FF,284,catapult_fpga_latency
