n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,obj1,obj2,lut,ff,dsp,bram
0230,16,2,1,4,1,16,0.000001,967,5484,2148,6,0
0231,16,2,1,4,2,4,0.000001,610,3083,2014,6,0
0232,16,2,1,4,2,8,0.000001,838,4460,2023,6,0
0233,16,2,1,4,2,16,0.000001,1217,6493,2380,6,0
0234,16,2,1,4,3,4,0.000001,749,3971,2210,6,0
0235,16,2,1,4,3,8,0.000001,1020,5654,2224,6,0
0236,16,2,1,4,3,16,0.000001,1720,9186,2491,6,0
0237,16,2,1,4,4,4,0.000001,843,4660,2345,6,0
0238,16,2,1,4,4,8,0.000001,1079,6088,2419,6,0
0239,16,2,1,4,4,16,0.000001,1703,8988,2699,6,0
0240,16,2,2,1,1,4,0.000001,831,4397,2597,12,0
0241,16,2,2,1,1,8,0.000002,1123,6330,2623,12,0
0242,16,2,2,1,1,16,0.000002,1892,9700,2857,12,0
0243,16,2,2,1,2,4,0.000002,1123,5912,3376,12,0
0244,16,2,2,1,2,8,0.000003,1570,8531,3411,12,0
0245,16,2,2,1,2,16,0.000002,2636,13902,3423,12,0
0246,16,2,2,1,3,4,0.000002,1402,7478,3780,12,0
0247,16,2,2,1,3,8,0.000003,1908,10523,3807,12,0
0248,16,2,2,1,3,16,0.000002,3484,17904,3678,12,0
0249,16,2,2,1,4,4,0.000002,1620,8823,4166,12,0
0250,16,2,2,1,4,8,0.000003,2305,13142,4237,12,0
0251,16,2,2,1,4,16,0.000002,4381,21994,3920,12,0
0252,16,2,2,2,1,4,0.000001,823,4428,2579,12,0
0253,16,2,2,2,1,8,0.000001,1263,7079,2602,12,0
0254,16,2,2,2,1,16,0.000001,2054,10863,2856,12,0
0255,16,2,2,2,2,4,0.000001,1145,5978,3354,12,0
0256,16,2,2,2,2,8,0.000002,1550,8635,3382,12,0
0257,16,2,2,2,2,16,0.000002,2585,13829,3422,12,0
0258,16,2,2,2,3,4,0.000002,1389,7410,3747,12,0
0259,16,2,2,2,3,8,0.000002,1869,10443,3780,12,0
0260,16,2,2,2,3,16,0.000002,3446,18872,3682,12,0
0261,16,2,2,2,4,4,0.000002,1610,8980,4123,12,0
0262,16,2,2,2,4,8,0.000002,2419,13687,4215,12,0
0263,16,2,2,2,4,16,0.000002,4608,22628,3878,12,0
0264,16,2,2,3,1,4,0.000001,886,4666,2764,12,0
0265,16,2,2,3,1,8,0.000001,1198,6386,3014,12,0
0266,16,2,2,3,1,16,0.000001,2164,11895,2902,12,0
0267,16,2,2,3,2,4,0.000002,1229,6296,3546,12,0
0268,16,2,2,3,2,8,0.000002,1606,8949,3796,12,0
0269,16,2,2,3,2,16,0.000001,2718,14528,3469,12,0
