n,knob_KNOB_MAT_SIZE,knob_KNOB_UNROLL_LMM,knob_KNOB_UNROLL_L1,knob_KNOB_UNROLL_L2,knob_KNOB_UNROLL_L3,knob_I_B,knob_KNOB_DATA_BLOCK_INTERLEAVE,obj1,obj2
0310,32,2,2,3,3,0,256,0.0003,53
0311,32,2,2,3,3,0,128,0.0003,55
0312,32,2,2,3,3,0,64,0.0003,51
0313,32,2,2,3,3,0,32,0.0003,60
0314,32,2,2,3,3,0,16,0.0003,62
0315,32,2,3,1,1,0,1024,0.0003,51
0316,32,2,3,1,1,0,512,0.0003,45
0317,32,2,3,1,1,0,256,0.0003,49
0318,32,2,3,1,1,0,128,0.0003,44
0319,32,2,3,1,1,0,64,0.0004,43
0320,32,2,3,1,1,0,32,0.0003,43
0321,32,2,3,1,1,0,16,0.0004,52
0322,32,2,3,1,2,0,1024,0.0002,44
0323,32,2,3,1,2,0,512,0.0003,42
0324,32,2,3,1,2,0,256,0.0002,46
0325,32,2,3,1,2,0,128,0.0002,38
0326,32,2,3,1,2,0,64,0.0002,41
0327,32,2,3,1,2,0,32,0.0002,42
0328,32,2,3,1,2,0,16,0.0002,54
0329,32,2,3,1,3,0,1024,0.0004,57
0330,32,2,3,1,3,0,512,0.0003,51
0331,32,2,3,1,3,0,256,0.0003,50
0332,32,2,3,1,3,0,128,0.0003,55
0333,32,2,3,1,3,0,64,0.0003,50
0334,32,2,3,1,3,0,32,0.0003,54
0335,32,2,3,1,3,0,16,0.0003,56
0336,32,2,3,2,1,0,1024,0.0003,53
0337,32,2,3,2,1,0,512,0.0003,37
0338,32,2,3,2,1,0,256,0.0003,43
0339,32,2,3,2,1,0,128,0.0004,42
0340,32,2,3,2,1,0,64,0.0003,46
0341,32,2,3,2,1,0,32,0.0003,45
0342,32,2,3,2,1,0,16,0.0003,49
0343,32,2,3,2,2,0,1024,0.0002,48
0344,32,2,3,2,2,0,512,0.0002,43
0345,32,2,3,2,2,0,256,0.0002,40
0346,32,2,3,2,2,0,128,0.0002,43
0347,32,2,3,2,2,0,64,0.0002,41
0348,32,2,3,2,2,0,32,0.0002,38
0349,32,2,3,2,2,0,16,0.0002,50
0350,32,2,3,2,3,0,1024,0.0003,62
0351,32,2,3,2,3,0,512,0.0003,54
0352,32,2,3,2,3,0,256,0.0003,58
0353,32,2,3,2,3,0,128,0.0003,55
0354,32,2,3,2,3,0,64,0.0003,59
0355,32,2,3,2,3,0,32,0.0003,56
0356,32,2,3,2,3,0,16,0.0003,68
0357,32,2,3,3,1,0,1024,0.0004,48
0358,32,2,3,3,1,0,512,0.0003,53
0359,32,2,3,3,1,0,256,0.0004,52
0360,32,2,3,3,1,0,128,0.0004,44
0361,32,2,3,3,1,0,64,0.0004,44
0362,32,2,3,3,1,0,32,0.0005,44
0363,32,2,3,3,1,0,16,0.0004,51
0364,32,2,3,3,2,0,1024,0.0003,55
0365,32,2,3,3,2,0,512,0.0003,54
0366,32,2,3,3,2,0,256,0.0003,57
0367,32,2,3,3,2,0,128,0.0003,55
0368,32,2,3,3,2,0,64,0.0003,48
0369,32,2,3,3,2,0,32,0.0003,56
0370,32,2,3,3,2,0,16,0.0003,68
0371,32,2,3,3,3,0,1024,0.0004,74
0372,32,2,3,3,3,0,512,0.0004,69
0373,32,2,3,3,3,0,256,0.0004,68
0374,32,2,3,3,3,0,128,0.0004,66
0375,32,2,3,3,3,0,64,0.0004,76
0376,32,2,3,3,3,0,32,0.0004,72
0377,32,2,3,3,3,0,16,0.0004,72
0378,32,3,1,1,1,0,1024,0.0003,49
0379,32,3,1,1,1,0,512,0.0003,41
0380,32,3,1,1,1,0,256,0.0003,52
0381,32,3,1,1,1,0,128,0.0004,45
0382,32,3,1,1,1,0,64,0.0004,38
0383,32,3,1,1,1,0,32,0.0003,52
0384,32,3,1,1,1,0,16,0.0003,54
0385,32,3,1,1,2,0,1024,0.0002,44
0386,32,3,1,1,2,0,512,0.0002,40
0387,32,3,1,1,2,0,256,0.0002,49
0388,32,3,1,1,2,0,128,0.0002,44
0389,32,3,1,1,2,0,64,0.0002,48
0390,32,3,1,1,2,0,32,0.0002,43
0391,32,3,1,1,2,0,16,0.0002,54
0392,32,3,1,1,3,0,1024,0.0003,56
0393,32,3,1,1,3,0,512,0.0003,53
0394,32,3,1,1,3,0,256,0.0003,52
0395,32,3,1,1,3,0,128,0.0003,59
0396,32,3,1,1,3,0,64,0.0003,57
0397,32,3,1,1,3,0,32,0.0003,51
0398,32,3,1,1,3,0,16,0.0003,56
0399,32,3,1,2,1,0,1024,0.0003,52
0400,32,3,1,2,1,0,512,0.0003,49
0401,32,3,1,2,1,0,256,0.0003,47
0402,32,3,1,2,1,0,128,0.0003,51
0403,32,3,1,2,1,0,64,0.0003,47
0404,32,3,1,2,1,0,32,0.0003,52
0405,32,3,1,2,1,0,16,0.0004,57
0406,32,3,1,2,2,0,1024,0.0002,50
0407,32,3,1,2,2,0,512,0.0002,45
0408,32,3,1,2,2,0,256,0.0002,46
0409,32,3,1,2,2,0,128,0.0002,46
0410,32,3,1,2,2,0,64,0.0002,52
0411,32,3,1,2,2,0,32,0.0002,45
0412,32,3,1,2,2,0,16,0.0003,50
