n,knob_no_size,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_merge_unroll,knob_partition_factor,knob_I_B,obj1,obj2,lut,ff,dsp,bram
0223,16,1,3,4,1,8,0,0.000198,624,3711,1924,0,0
0224,16,1,3,4,1,16,0,0.000171,770,4928,1450,0,0
0225,16,1,3,4,2,1,0,0.000186,394,2141,989,0,0
0226,16,1,3,4,2,2,0,0.000238,572,2486,1506,0,0
0227,16,1,3,4,2,4,0,0.000199,596,3436,1886,0,0
0228,16,1,3,4,2,8,0,0.000202,568,3426,1907,0,0
0229,16,1,3,4,2,16,0,0.000168,739,4925,1458,0,0
0230,16,1,3,4,3,1,0,0.000202,423,2172,1008,0,0
0231,16,1,3,4,3,2,0,0.000254,642,3311,1448,0,0
0232,16,1,3,4,3,4,0,0.000183,589,3516,1826,0,0
0233,16,1,3,4,3,8,0,0.000194,554,3315,1842,0,0
0234,16,1,3,4,3,16,0,0.000181,816,5276,1511,0,0
0235,16,1,3,4,4,1,0,0.000205,413,2135,983,0,0
0236,16,1,3,4,4,2,0,0.000249,566,2588,1504,0,0
0237,16,1,3,4,4,4,0,0.000198,524,2983,1502,0,0
0238,16,1,3,4,4,8,0,0.000197,598,3449,1906,0,0
0239,16,1,3,4,4,16,0,0.000172,752,4862,1448,0,0
0240,16,1,4,1,1,1,0,0.000080,335,1723,898,0,0
0241,16,1,4,1,1,2,0,0.000087,433,2405,1392,0,0
0242,16,1,4,1,1,4,0,0.000084,409,2698,1436,0,0
0243,16,1,4,1,1,8,0,0.000078,537,3286,1599,0,0
0244,16,1,4,1,1,16,0,0.000061,351,2118,1291,0,0
0245,16,1,4,1,2,1,0,0.000078,291,1678,882,0,0
0246,16,1,4,1,2,2,0,0.000095,398,1881,1391,0,0
0247,16,1,4,1,2,4,0,0.000090,393,2558,1434,0,0
0248,16,1,4,1,2,8,0,0.000082,491,3038,1583,0,0
0249,16,1,4,1,2,16,0,0.000061,291,1987,1275,0,0
0250,16,1,4,1,3,1,0,0.000067,336,1748,897,0,0
0251,16,1,4,1,3,2,0,0.000091,618,2940,1318,0,0
0252,16,1,4,1,3,4,0,0.000092,524,3231,1430,0,0
0253,16,1,4,1,3,8,0,0.000098,554,3510,1584,0,0
0254,16,1,4,1,3,16,0,0.000045,392,2409,1496,0,0
0255,16,1,4,1,4,1,0,0.000062,296,1633,871,0,0
0256,16,1,4,1,4,2,0,0.000086,408,1926,1384,0,0
0257,16,1,4,1,4,4,0,0.000077,411,2243,1431,0,0
0258,16,1,4,1,4,8,0,0.000078,442,2676,1580,0,0
0259,16,1,4,1,4,16,0,0.000045,283,1744,1267,0,0
0260,16,1,4,2,1,1,0,0.000119,324,1753,932,0,0
0261,16,1,4,2,1,2,0,0.000168,531,2946,1406,0,0
0262,16,1,4,2,1,4,0,0.000121,546,3293,1816,0,0
0263,16,1,4,2,1,8,0,0.000123,547,3203,1847,0,0
0264,16,1,4,2,1,16,0,0.000098,557,3263,1306,0,0
0265,16,1,4,2,2,1,0,0.000121,332,1801,913,0,0
0266,16,1,4,2,2,2,0,0.000162,516,2380,1396,0,0
0267,16,1,4,2,2,4,0,0.000122,473,3007,1814,0,0
0268,16,1,4,2,2,8,0,0.000127,456,2845,1833,0,0
0269,16,1,4,2,2,16,0,0.000099,449,2831,1287,0,0
0270,16,1,4,2,3,1,0,0.000128,327,1740,931,0,0
0271,16,1,4,2,3,2,0,0.000177,609,3216,1334,0,0
0272,16,1,4,2,3,4,0,0.000125,532,3250,1818,0,0
0273,16,1,4,2,3,8,0,0.000121,538,3017,1833,0,0
0274,16,1,4,2,3,16,0,0.000100,518,3167,1519,0,0
0275,16,1,4,2,4,1,0,0.000123,305,1606,905,0,0
0276,16,1,4,2,4,2,0,0.000152,517,2463,1391,0,0
0277,16,1,4,2,4,4,0,0.000120,446,2549,1434,0,0
0278,16,1,4,2,4,8,0,0.000124,464,2650,1834,0,0
0279,16,1,4,2,4,16,0,0.000095,449,2754,1283,0,0
