n,knob_UNROLL_F,knob_outer_unroll,knob_inner_unroll1,knob_inner_unroll2,knob_array_partition1,knob_array_partition2,obj1,obj2,lut,ff,dsp,bram
0332,4,2,2,2,4,2,0.000395,1642,7652,6330,34,34
0333,4,2,2,2,4,4,0.000358,1636,7769,6339,34,34
0334,4,2,2,2,8,2,0.000396,1808,9060,6484,34,34
0335,4,2,2,2,8,4,0.000377,1818,8966,6487,34,34
0336,4,2,2,2,16,2,0.000341,2204,11623,6757,34,34
0337,4,2,2,2,16,4,0.000358,2235,11722,6766,34,34
0338,4,2,2,2,32,2,0.000375,3535,18357,7399,34,34
0339,4,2,2,2,32,4,0.000394,3556,18354,7406,34,34
0340,4,2,2,3,2,2,0.000450,2253,10615,8611,43,43
0341,4,2,2,3,2,4,0.000485,2146,9581,8014,46,46
0342,4,2,2,3,4,2,0.000482,2178,10263,8265,43,43
0343,4,2,2,3,4,4,0.000384,1916,9379,7182,46,46
0344,4,2,2,3,8,2,0.000405,2503,12282,8422,43,43
0345,4,2,2,3,8,4,0.000358,2210,10880,7408,46,46
0346,4,2,2,3,16,2,0.000454,3066,16212,8790,43,43
0347,4,2,2,3,16,4,0.000424,2843,14992,7711,46,46
0348,4,2,2,3,32,2,0.000394,4826,25749,9417,43,43
0349,4,2,2,3,32,4,0.000483,4626,24447,8385,46,46
0350,4,2,2,4,2,2,0.000327,1236,5449,3293,53,53
0351,4,2,2,4,2,4,0.000327,1236,5449,3293,53,53
0352,4,2,2,4,4,2,0.000338,1277,6388,3463,53,53
0353,4,2,2,4,4,4,0.000338,1277,6388,3463,53,53
0354,4,2,2,4,8,2,0.000320,1640,8798,3006,53,53
0355,4,2,2,4,8,4,0.000320,1640,8798,3006,53,53
0356,4,2,2,4,16,2,0.000326,2299,13798,3306,53,53
0357,4,2,2,4,16,4,0.000326,2299,13798,3306,53,53
0358,4,2,2,4,32,2,0.000373,4726,26175,4054,53,53
0359,4,2,2,4,32,4,0.000373,4726,26175,4054,53,53
0360,4,2,3,1,2,2,0.000617,1884,8094,6980,25,25
0361,4,2,3,1,2,4,0.000621,1969,8513,8530,25,25
0362,4,2,3,1,4,2,0.000672,1925,8373,7068,25,25
0363,4,2,3,1,4,4,0.000612,1833,8795,8617,25,25
0364,4,2,3,1,8,2,0.000636,1967,9393,7222,25,25
0365,4,2,3,1,8,4,0.000615,2171,10030,8763,25,25
0366,4,2,3,1,16,2,0.000632,2239,11366,7499,25,25
0367,4,2,3,1,16,4,0.000600,2432,12052,9044,25,25
0368,4,2,3,1,32,2,0.000619,3256,16463,8126,25,25
0369,4,2,3,1,32,4,0.000648,3583,17294,9674,25,25
0370,4,2,3,2,2,2,0.000566,2416,10463,7893,46,46
0371,4,2,3,2,2,4,0.000572,2300,10288,7906,46,46
0372,4,2,3,2,4,2,0.000547,2351,10737,8084,46,46
0373,4,2,3,2,4,4,0.000595,2275,10959,8095,46,46
0374,4,2,3,2,8,2,0.000574,2557,12562,8153,46,46
0375,4,2,3,2,8,4,0.000523,2485,12459,8253,46,46
0376,4,2,3,2,16,2,0.000532,3230,16508,8443,46,46
0377,4,2,3,2,16,4,0.000591,3040,16365,8454,46,46
0378,4,2,3,2,32,2,0.000613,5031,25958,9150,46,46
0379,4,2,3,2,32,4,0.000537,4955,25910,9163,46,46
0380,4,2,3,3,2,2,0.000721,3097,14637,11508,61,61
0381,4,2,3,3,2,4,0.000640,3000,13453,10642,64,64
0382,4,2,3,3,4,2,0.000690,3070,14496,10867,61,61
0383,4,2,3,3,4,4,0.000707,2710,13115,9273,64,64
0384,4,2,3,3,8,2,0.000596,3475,17696,11108,61,61
0385,4,2,3,3,8,4,0.000573,3162,15966,9497,64,64
0386,4,2,3,3,16,2,0.000636,4209,22894,11339,61,61
0387,4,2,3,3,16,4,0.000556,3883,21627,9832,64,64
0388,4,2,3,3,32,2,0.000637,6970,37173,12164,61,61
0389,4,2,3,3,32,4,0.000600,6693,35130,10591,64,64
0390,4,2,3,4,2,2,0.000516,1697,7686,4425,77,77
0391,4,2,3,4,2,4,0.000512,1697,7684,4425,77,77
0392,4,2,3,4,4,2,0.000477,1685,8841,3694,77,77
0393,4,2,3,4,4,4,0.000477,1685,8841,3694,77,77
0394,4,2,3,4,8,2,0.000514,2236,12444,3889,77,77
0395,4,2,3,4,8,4,0.000514,2236,12444,3889,77,77
0396,4,2,3,4,16,2,0.000532,3363,19707,4278,77,77
0397,4,2,3,4,16,4,0.000532,3363,19707,4278,77,77
0398,4,2,3,4,32,2,0.000617,6886,38109,4982,77,77
0399,4,2,3,4,32,4,0.000617,6886,38109,4982,77,77
0400,4,2,4,1,2,2,0.000794,2445,10810,8481,31,31
